+----------------------------------+-----------------------+-----------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+------------------------+------------------------+-----------------------+------------------------+-----------------------+-----------------------+------------------------+-----------------------+------------------------+------------------------+-----------------------+-----------------------+------------------------+
|              Metric              |           P1          |           P2          |           P3           |           P4           |           P5           |           P6          |           P7          |           P8           |           P9           |          P10          |          P11           |          P12          |          P13          |          P14           |          P15          |          P16           |          P17           |          P18          |          P19          |          P20           |
|       Collective Strength        |   1.1873359580052494  |   0.8976044315511984  |   1.3718394737070598   |   1.1319498300540956   |   1.3259886393225164   |   1.2201453394113946  |   1.192885533584981   |   1.1685797757044574   |   1.2330684077354057   |   1.2189712128362433  |   1.229044498102794    |   1.1755557874960858  |   1.1882742279750134  |   1.1870445052040202   |   1.197344092992234   |   1.0574308206106873   |   1.1727606364052257   |   1.0623407217046796  |   1.050974807550208   |   1.0240701200941265   |
|              Cosine              |  0.36664825963252584  |   0.2190342712773574  |   0.5507910552258941   |  0.27801921874276636   |   0.5107539184552492   |  0.35856858280031806  |   0.3259601202601324  |   0.3469443332443555   |   0.5172935265326568   |    0.3732884438274    |   0.485912657903775    |   0.3131121455425747  |   0.4383570037596046  |  0.32274861218395146   |   0.3952847075210474  |   0.2167303617157527   |  0.44048819592160315   |   0.1809890932220285  |   0.2030692330267238  |   0.1182165609358651   |
|         Interestingness          |  0.13436212174805232  |  0.04796246040527508  |   0.3032261814177092   |  0.07727285287516542   |  0.26075903507182924   |   0.1285305718926226  |  0.10621811224489795  |   0.1203427449411137   |  0.26751228269085414   |  0.13930244228839078  |  0.23604024943310659   |  0.09801325374440431  |  0.19210936969943687  |   0.1041390821034296   |   0.1562086231551444  |  0.04696292793697677   |  0.19398532020358625   |  0.03275358208369255  |  0.04123420138219023  |  0.01397441512227836   |
|        Comprehensibility         |          0.5          |          0.5          |          0.5           |  0.43067655807339306   |          0.5           |          0.5          |          0.5          |  0.43067655807339306   |          0.5           |          0.5          |          0.5           |          0.5          |          0.5          |          0.5           |          0.5          |          0.5           |          0.5           |  0.43067655807339306  |   0.3562071871080222  |   0.3868528072345416   |
|           Completeness           |   0.1576086956521739  |  0.08695652173913043  |  0.30337078651685395   |  0.08695652173913043   |   0.2608695652173913   |  0.14285714285714285  |         0.125         |  0.12037037037037038   |   0.2833333333333333   |  0.13934426229508198  |   0.2361111111111111   |   0.1111111111111111  |   0.2058823529411765  |  0.10416666666666667   |        0.15625        |  0.059782608695652176  |  0.19402985074626866   |  0.03821656050955414  |  0.041237113402061855 |  0.018633540372670808  |
|           Added Value            |   0.0798319327731093  |  -0.22138510576644455 |   0.6260504201680672   |  0.11577964519140993   |   0.6134453781512605   |  0.37058823529411755  |  0.27857142857142847  |   0.546218487394958    |    0.69234360410831    |   0.4873949579831933  |   0.6974789915966386   |  0.31512605042016806  |   0.6476190476190476  |  0.39495798319327735   |   0.5966386554621849  |  0.012605042016806789  |   0.7184873949579832   |  0.19747899159663873  |   0.592436974789916   |  0.07352941176470584   |
|        Casual Confidence         |  0.49754901960784315  |   0.3141395809272397  |   0.5639810426540285   |  0.48080808080808085   |   0.5560747663551402   |   0.4912844036697247  |   0.4639908256880733  |   0.5288888888888889   |   0.5108585858585859   |   0.5384615384615384  |   0.5384615384615384   |   0.4751131221719457  |  0.49805680119581464  |   0.5336322869955157   |   0.5336322869955157  |  0.41741071428571436   |   0.5288888888888889   |   0.4415584415584416  |   0.5085470085470085  |   0.3814102564102564   |
|          Casual Support          |   0.3277310924369748  |   0.2394957983193277  |   0.7394957983193278   |   0.2857142857142857   |   0.7142857142857143   |   0.5378151260504201  |   0.4873949579831933  |   0.6008403361344538   |   0.8151260504201681   |   0.5588235294117647  |    0.76890756302521    |  0.48739495798319327  |   0.7689075630252101  |   0.4579831932773109   |   0.6596638655462185  |  0.26050420168067223   |   0.773109243697479    |   0.3613445378151261  |   0.6092436974789917  |   0.3319327731092437   |
|         Certainty Factor         |  0.35185185185185214  |  -0.9757343550447002  |          1.0           |   0.5102880658436216   |          1.0           |   0.7874999999999998  |   0.6499999999999997  |          1.0           |   0.9257178526841447   |          1.0          |          1.0           |   0.7281553398058251  |   0.9066666666666667  |          1.0           |          1.0          |  0.05555555555555586   |          1.0           |   0.5802469135802472  |          1.0          |  0.22727272727272718   |
|            Conviction            |   1.5428571428571423  |   0.5061409179056238  |          inf           |   2.042016806722689    |          inf           |   4.705882352941177   |   2.8571428571428577  |          inf           |   13.46218487394958    |          inf          |          inf           |   3.678571428571429   |   10.714285714285715  |          inf           |          inf          |   1.0588235294117645   |          inf           |   2.382352941176471   |          inf          |   1.2941176470588234   |
|        Coverage (Support)        |  0.14285714285714285  |  0.12184873949579832  |   0.1134453781512605   |  0.07563025210084033   |  0.10084033613445378   |  0.08403361344537816  |  0.08403361344537816  |   0.0546218487394958   |  0.07563025210084033   |  0.07142857142857142  |  0.07142857142857142   |  0.07142857142857142  |  0.06302521008403361  |  0.06302521008403361   |  0.06302521008403361  |  0.058823529411764705  |   0.0546218487394958   |  0.029411764705882353 |  0.01680672268907563  |  0.01680672268907563   |
| Descriptive Confirmed Confidence |   0.7058823529411765  |  0.10344827586206895  |          1.0           |   0.7777777777777778   |          1.0           |   0.7999999999999999  |   0.6999999999999998  |          1.0           |   0.8888888888888888   |          1.0          |          1.0           |   0.7647058823529411  |   0.8666666666666667  |          1.0           |          1.0          |   0.5714285714285715   |          1.0           |   0.7142857142857144  |          1.0          |          0.5           |
|    Difference of Proportions     |   0.0931372549019609  |  -0.25210361326513786 |   0.7061611374407583   |  0.12525252525252528   |   0.6822429906542056   |  0.40458715596330264  |   0.3041284403669723  |   0.5777777777777777   |   0.748989898989899    |   0.5248868778280543  |   0.751131221719457    |   0.3393665158371041  |   0.6911808669656203  |  0.42152466367713004   |   0.6367713004484306  |  0.013392857142857206  |          0.76          |  0.20346320346320357  |   0.6025641025641025  |  0.07478632478632474   |
|   Example and Counter Example    |   0.8275862068965517  |  0.18749999999999997  |          1.0           |         0.875          |          1.0           |   0.888888888888889   |   0.823529411764706   |          1.0           |   0.9411764705882353   |          1.0          |          1.0           |   0.8666666666666667  |   0.9285714285714286  |          1.0           |          1.0          |   0.7272727272727274   |          1.0           |   0.8333333333333334  |          1.0          |   0.6666666666666667   |
|         Imbalance Ratio          |   0.7936507936507938  |   0.7868020304568529  |   0.696629213483146    |   0.8924731182795698   |   0.7391304347826086   |   0.8281250000000001  |   0.8345323741007193  |   0.8796296296296297   |   0.6885245901639344   |   0.860655737704918   |   0.7638888888888888   |   0.8613138686131385  |   0.7681159420289855  |   0.8958333333333334   |        0.84375        |   0.9090909090909091   |   0.8059701492537314   |   0.949367088607595   |   0.9587628865979382  |   0.9691358024691357   |
|  Fisher's Exact Test (p-value)   |  0.16389855917555496  |   0.9989488925251291  | 1.6542323066914832e-13 |   0.1787593853492887   | 1.5259460361960464e-11 | 0.0003130798719450656 |  0.006307389976123012 | 2.2771396816834155e-05 | 1.4401924097739993e-10 | 6.499145168370468e-06 | 3.4325531306222956e-10 |  0.00473223819182389  | 9.856913696371095e-08 | 0.00039312101621225004 |  6.02723325360266e-07 |   0.6039581396512662   | 2.8055731626785985e-08 |  0.24670116543782716  |  0.026582098190059078 |   0.6101318989436216   |
|         Hyper Confidence         |   0.836101440824445   |  0.001051107474870916 |   0.9999999999998346   |   0.8212406146507113   |   0.9999999999847405   |   0.9996869201280549  |   0.993692610023877   |   0.9999772286031832   |   0.9999999998559808   |   0.9999935008548316  |   0.9999999996567447   |   0.9952677618081761  |   0.999999901430863   |   0.9996068789837877   |   0.9999993972766746  |   0.3960418603487338   |   0.9999999719442684   |   0.7532988345621728  |   0.9734179018099409  |  0.38986810105637837   |
|            Hyper Lift            |   0.9666666666666667  |   0.6153846153846154  |   1.9285714285714286   |   0.9411764705882353   |   1.8461538461538463   |   1.2857142857142858  |   1.1333333333333333  |   1.4444444444444444   |         2.125          |   1.4166666666666667  |         2.125          |   1.1538461538461537  |          2.0          |          1.25          |   1.6666666666666667  |   0.8461538461538461   |   2.1666666666666665   |   0.8571428571428571  |   1.3333333333333333  |          0.75          |
|   Laplace Corrected Confidence   |   0.8333333333333334  |   0.5483870967741935  |   0.9655172413793104   |          0.85          |   0.9615384615384616   |   0.8636363636363636  |   0.8181818181818182  |   0.9333333333333333   |          0.9           |   0.9473684210526315  |   0.9473684210526315   |   0.8421052631578947  |   0.8823529411764706  |   0.9411764705882353   |   0.9411764705882353  |          0.75          |   0.9333333333333333   |   0.7777777777777778  |   0.8333333333333334  |   0.6666666666666666   |
|            Importance            |   0.6989700043360187  |  0.08432088570003586  |   1.447158031342219    |   0.7533276666586114   |   1.3979400086720375   |   0.8016323462331665  |   0.6532125137753436  |   1.1461280356782377   |   0.9542425094393249   |   1.2552725051033058  |   1.2552725051033058   |   0.7269987279362623  |   0.8750612633916999  |   1.2041199826559246   |   1.2041199826559246  |  0.47712125471966244   |   1.1461280356782377   |   0.5440680443502756  |   0.6989700043360187  |  0.30102999566398114   |
|       Jaccard Coefficient        |  0.15343915343915343  |  0.08121827411167512  |  0.30337078651685395   |  0.08602150537634408   |  0.26086956521739124   |  0.14062499999999997  |  0.12230215827338128  |  0.12037037037037039   |  0.27868852459016397   |  0.13934426229508198  |  0.23611111111111108   |  0.10948905109489052  |   0.2028985507246377  |  0.10416666666666667   |        0.15625        |  0.058823529411764705  |  0.19402985074626866   |   0.0379746835443038  |  0.041237113402061855 |  0.018518518518518514  |
|            J-Measure             | 0.0012438640959796417 |  0.006303231395805135 |  0.04846238513072763   | 0.0014688536184115312  |  0.04162579459270151   |  0.01177646409067895  |  0.006571313856558015 |  0.018743662270606337  |  0.036227397225871955  |  0.020729794741554553 |  0.037088890044660254  |  0.007340018936377275 |  0.02591388348841265  |  0.01375301249755855   |  0.02485120109350484  | 1.1726334544085132e-05 |  0.03006944540598282   |  0.001283096589342839 |  0.006551348282189363 | 9.438350338300273e-05  |
|              Kappa               |  0.03281519861830746  |  -0.0763580030982959  |   0.3528637838786072   |  0.02393129402682621   |  0.30217316315971016   |  0.11875589066917994  |  0.08369098712446356  |  0.13005001923816825   |  0.36161911728846624   |  0.13631022326674497  |  0.30127041742286736   |  0.08073196986006455  |   0.2610364683301346  |   0.084123858958296    |   0.1809839408615857  | 0.0020013342228151765  |   0.2570239334027058   |  0.017863930064614345 |   0.0484911013670367  |  0.003685956505713336  |
|             Klosgen              |  0.027866804083448132 |  -0.05740105995871964 |  0.21086413316508942   |  0.030019518849848145  |   0.1948018338848184   |   0.1019153034931364  |   0.0744513459613182  |   0.1276584575999251   |  0.18503661146411082   |  0.13026178177244216  |  0.18640910150194306   |  0.07911183486136036  |  0.15707069049972042  |   0.099153499692905    |  0.14978507400417562  |  0.002709893116051006  |   0.1679199711506707   |  0.031355089700638585 |  0.07680397060576066  |  0.00825530722682117   |
|            Kulczynski            |   0.5052749360613811  |   0.3193403298350824  |   0.651685393258427    |   0.4879227053140097   |   0.6304347826086957   |   0.5214285714285714  |  0.48749999999999993  |   0.5601851851851852   |   0.6138888888888889   |   0.569672131147541   |   0.6180555555555556   |  0.49673202614379086  |   0.5696078431372549  |   0.5520833333333334   |        0.578125       |   0.422748447204969    |   0.5970149253731343   |  0.44767970882620567  |   0.520618556701031   |   0.3843167701863354   |
|     Goodman-Kruskal's Lambda     |   0.7416267942583732  |   0.7567567567567568  |   0.2938388625592417   |   0.7567567567567568   |   0.3177570093457944   |  0.49090909090909096  |   0.5384615384615384  |  0.42222222222222217   |  0.19457013574660637   |   0.4751131221719457  |  0.24886877828054305   |   0.5381165919282511  |  0.24107142857142855  |    0.57847533632287    |   0.3632286995515695  |   0.762114537444934    |  0.23999999999999996   |   0.6508620689655172  |   0.3974358974358974  |   0.672340425531915    |
|       Least Contradiction        |  0.13043478260869565  |  0.016304347826086953 |  0.30337078651685395   |  0.07608695652173912   |   0.2608695652173913   |  0.12698412698412698  |  0.10294117647058824  |  0.12037037037037038   |  0.26666666666666666   |  0.13934426229508198  |   0.2361111111111111   |   0.0962962962962963  |   0.1911764705882353  |  0.10416666666666667   |        0.15625        |  0.04347826086956522   |  0.19402985074626866   |  0.03184713375796178  |  0.041237113402061855 |  0.012422360248447206  |
|        Lerman Similarity         |   0.5294143019465855  |  -1.3558978286727963  |    5.31966971216009    |   0.5586605877051869   |   4.833659839718645    |    2.27776980709589   |   1.6480507967206073  |   2.9235779127660844   |   5.8502010361258066   |   2.8068167272757987  |    5.22850854329431    |   1.725163898355886   |   4.692445803528009   |   1.9665444105759493   |   3.6383952737528706  |  0.05363989048891118   |    4.88249611808941    |   0.6432926260828536  |   1.855986285113944   |   0.1787996349630378   |
|        Piatetsky-Shapiro         |  0.011404561824729889 | -0.026975496080785255 |  0.07102252665772191   |  0.008756443753972179  |  0.06186003813290022   |  0.031141868512110718 |  0.023409363745498193 |  0.029835463597203588  |  0.052362121319115884  |  0.03481392557022809  |  0.04981992797118848   |  0.022509003601440578 |  0.04081632653061225  |  0.024892309865122524  |  0.03760327660475955  | 0.0007414730598121616  |  0.03924510980862933   |  0.005808205635195254 |  0.009956923946049008 |  0.001235788433020267  |
|          Max Confidence          |   0.8529411764705883  |   0.5517241379310345  |          1.0           |   0.888888888888889    |          1.0           |   0.8999999999999999  |   0.8499999999999999  |          1.0           |   0.9444444444444444   |          1.0          |          1.0           |   0.8823529411764706  |   0.9333333333333333  |          1.0           |          1.0          |   0.7857142857142858   |          1.0           |   0.8571428571428572  |          1.0          |          0.75          |
|            Odds Ratio            |   1.833548387096774   |   0.3003663003663003  |          inf           |   2.476190476190476    |          inf           |   9.166666666666668   |   4.714285714285714   |          inf           |   69.97674418604652    |          inf          |          inf           |         6.3125        |   43.81481481481482   |          inf           |          inf          |   1.0809248554913296   |          inf           |   3.178807947019868   |          inf          |   1.4430379746835442   |
|   Phi Correlation Coefficient    |  0.07781658797064017  |  0.19689986610829174  |   0.4628484197586063   |  0.07907301384316902   |   0.4218725309196788   |  0.22488529186101266  |  0.17050249534077555  |   0.2637182684284133   |   0.4560767438628209   |   0.2704440326191707  |  0.42112994117068825   |  0.17640223797999705  |   0.3718012552333895  |   0.2095443130534312   |  0.31542909773048405  |  0.007524115817860575  |  0.38400870636896267   |  0.07255186025071274  |  0.15763249737743654  |  0.02054952629572475   |
|          Ralambondrainy          |  0.02100840336134454  |   0.0546218487394958  |          0.0           |  0.008403361344537815  |          0.0           |  0.008403361344537815 |  0.012605042016806723 |          0.0           |  0.004201680672268907  |          0.0          |          0.0           |  0.008403361344537815 |  0.004201680672268907 |          0.0           |          0.0          |  0.012605042016806723  |          0.0           |  0.004201680672268907 |          0.0          |  0.004201680672268907  |
| Relative Linkage Disequilibrium  |   0.9999674803093274  |   0.9999560052793665  |          1.0           |    0.99998305802626    |          1.0           |   0.9999952362124077  |   0.9999904940254951  |          1.0           |   0.9999985833868105   |          1.0          |          1.0           |   0.9999934091717965  |   0.9999981826673717  |          1.0           |          1.0          |   0.9996999699969996   |          1.0           |   0.9999872290972248  |          1.0          |   0.9999399795930617   |
|          Relative Risk           |   1.1225806451612905  |   0.6863711001642036  |   3.4032258064516125   |   1.164021164021164    |   3.147058823529412    |   1.8166666666666664  |   1.5571428571428567  |   2.3684210526315788   |   4.832041343669251    |   2.104761904761905   |   4.0181818181818185   |         1.625         |   3.854320987654321   |   1.7286821705426356   |   2.7530864197530867  |   1.017341040462428    |   4.166666666666666    |   1.3112582781456956  |   2.5161290322580645  |   1.110759493670886    |
|        Rule Power Factor         |  0.10392980721700446  |  0.03709069834830484  |   0.1134453781512605   |  0.059757236227824466  |  0.10084033613445378   |   0.0680672268907563  |  0.06071428571428571  |   0.0546218487394958   |  0.06746031746031746   |  0.07142857142857142  |  0.07142857142857142   |  0.05561047948591201  |  0.05490196078431373  |  0.06302521008403361   |  0.06302521008403361  |  0.036314525810324134  |   0.0546218487394958   |  0.021608643457382955 |  0.01680672268907563  |  0.009453781512605043  |
|         Sebag-Schoenauer         |          5.8          |   1.2307692307692306  |          inf           |          8.0           |          inf           |          9.0          |   5.666666666666666   |          inf           |          17.0          |          inf          |          inf           |          7.5          |          14.0         |          inf           |          inf          |   3.666666666666667    |          inf           |          6.0          |          inf          |          3.0           |
|              Yule Q              |   0.2941712204007285  |  -0.5380281690140846  |          1.0           |  0.42465753424657526   |          1.0           |   0.8032786885245901  |          0.65         |          1.0           |   0.971821756225426    |          1.0          |          1.0           |   0.7264957264957265  |   0.9553719008264464  |          1.0           |          1.0          |  0.038888888888888876  |          1.0           |   0.5213946117274169  |          1.0          |  0.18134715025906734   |
|              Yule Y              |  0.15041329863917488  |  -0.29194222572341594 |          1.0           |  0.22287591717957334   |          1.0           |   0.5034325663434714  |   0.3693319881868721  |          1.0           |   0.7864436648585386   |          1.0          |          1.0           |  0.43059994154156334  |   0.7375078683334295  |          1.0           |          1.0          |  0.01945180168922975   |          1.0           |  0.28133070682418587  |          1.0          |  0.09143158211734935   |
|         Weighted Support         |  0.14285714285714285  |  0.12184873949579832  |   0.1134453781512605   |  0.07563025210084033   |  0.10084033613445378   |  0.08403361344537816  |  0.08403361344537816  |   0.0546218487394958   |  0.07563025210084033   |  0.07142857142857142  |  0.07142857142857142   |  0.07142857142857142  |  0.06302521008403361  |  0.06302521008403361   |  0.06302521008403361  |  0.058823529411764705  |   0.0546218487394958   |  0.029411764705882353 |  0.01680672268907563  |  0.01680672268907563   |
|      Weighted Rule Support       |  0.12184873949579832  |  0.06722689075630252  |   0.1134453781512605   |  0.06722689075630252   |  0.10084033613445378   |  0.07563025210084033  |  0.07142857142857142  |   0.0546218487394958   |  0.07142857142857142   |  0.07142857142857142  |  0.07142857142857142   |  0.06302521008403361  |  0.058823529411764705 |  0.06302521008403361   |  0.06302521008403361  |  0.046218487394957986  |   0.0546218487394958   |  0.025210084033613446 |  0.01680672268907563  |  0.012605042016806723  |
|       Weighted Confidence        |   0.8529411764705883  |   0.5517241379310345  |          1.0           |   0.888888888888889    |          1.0           |   0.8999999999999999  |   0.8499999999999999  |          1.0           |   0.9444444444444444   |          1.0          |          1.0           |   0.8823529411764706  |   0.9333333333333333  |          1.0           |          1.0          |   0.7857142857142858   |          1.0           |   0.8571428571428572  |          1.0          |          0.75          |
|          Weighted Lift           |   1.1032608695652173  |   0.7136431784107946  |   2.674157303370787    |   1.1497584541062802   |   2.5869565217391304   |   1.6999999999999997  |   1.4874999999999998  |   2.2037037037037037   |   3.7462962962962965   |   1.9508196721311475  |   3.305555555555556    |   1.5555555555555556  |   3.2666666666666666  |   1.652777777777778    |   2.4791666666666665  |   1.016304347826087    |   3.5522388059701493   |   1.2993630573248407  |   2.4536082474226806  |   1.108695652173913    |
|     Statistical Significance     |  0.032871004477084305 |  0.07834795900444724  | 8.988023124610331e-06  |  6.86081646407535e-07  |  0.05372318556746482   |  0.01499205203834294  | 0.0077426501769414765 | 6.4659167897739554e-09 |  0.014469993761101193  |  0.14521829308449263  |  0.012800153481309402  | 0.0037594632252712264 |  0.09267732507610424  |  0.02941460098141484   | 0.0003706304878245607 |  0.13083233900220861   |  0.02149136669670071   |   0.1076079805396105  | 0.0009476827353862426 |  0.003459418744874295  |
|           FleBiC Score           |  0.010116179885477071 |  0.10094150029746053  | 5.887109370293566e-05  | 2.2380948832897946e-07 |  0.29348114080635235   |  0.024623484341632935 |  0.007724388557778807 | 1.4379462095746916e-08 |  0.09207407565255916   |  0.33679407843083503  |  0.06968299276483171   |  0.003981430933747479 |  0.39581530967767875  |  0.042439547792380614  | 0.0011524322886443603 |  0.01671641433495791   |   0.0977343083795316   |  0.03188939501373196  | 0.0008560998110105822 | 0.00047933282292429187 |
+----------------------------------+-----------------------+-----------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+------------------------+------------------------+-----------------------+------------------------+-----------------------+-----------------------+------------------------+-----------------------+------------------------+------------------------+-----------------------+-----------------------+------------------------+
