+----------------------------------+------------------------+------------------------+-----------------------+------------------------+------------------------+------------------------+------------------------+----------------------+----------------------+------------------------+------------------------+----------------------+----------------------+-----------------------+----------------------+----------------------+----------------------+-----------------------+-----------------------+-----------------------+----------------------+----------------------+----------------------+------------------------+----------------------+-----------------------+----------------------+----------------------+----------------------+----------------------+-----------------------+-----------------------+----------------------+-----------------------+------------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+-----------------------+----------------------+----------------------+----------------------+-----------------------+-----------------------+-----------------------+----------------------+-----------------------+----------------------+----------------------+----------------------+----------------------+----------------------+----------------------+-----------------------+
|              Metric              |           P1           |           P2           |           P3          |           P4           |           P5           |           P6           |           P7           |          P8          |          P9          |          P10           |          P11           |         P12          |         P13          |          P14          |         P15          |         P16          |         P17          |          P18          |          P19          |          P20          |         P21          |         P22          |         P23          |          P24           |         P25          |          P26          |         P27          |         P28          |         P29          |         P30          |          P31          |          P32          |         P33          |          P34          |          P35           |          P36           |          P37           |          P38           |          P39          |          P40          |          P41          |         P42          |         P43          |         P44          |          P45          |          P46          |          P47          |         P48          |          P49          |         P50          |         P51          |         P52          |         P53          |         P54          |         P55          |          P56          |
|        Standardised Lift         |   0.8888888888888887   |          0.9           |   0.7777777777777779  |  0.33333333333333337   |   0.7777777777777779   |   0.3333333333333333   |          1.0           |  0.9166666666666666  |  0.8181818181818183  |   0.6363636363636366   |   0.6363636363636364   |  0.8181818181818183  |  0.818181818181818   |   0.6249999999999998  |  0.7999999999999998  |  0.7999999999999999  |  0.7999999999999999  |   0.7999999999999999  |          0.7          |          0.7          |         0.9          |  0.6666666666666669  |  0.8888888888888891  |   0.3333333333333333   |  0.7777777777777777  |   0.6666666666666669  |  0.8888888888888887  |  0.7777777777777779  |  0.7777777777777777  |  0.8888888888888887  |  0.22222222222222224  |   0.5555555555555557  |  0.8888888888888887  |   0.6666666666666665  |  0.44444444444444436   |   0.5714285714285714   |   0.7142857142857144   |   0.8571428571428573   |          1.0          |  0.14285714285714285  |   0.7142857142857143  |         0.9          |        0.875         |  0.7500000000000001  |          0.0          |          0.75         |   0.6249999999999999  |  0.6249999999999996  |   0.7142857142857143  |  0.8571428571428572  |  0.8571428571428573  |  0.8571428571428573  |  0.8571428571428573  |  0.8571428571428572  |  0.8571428571428573  |   0.2857142857142857  |
|       Collective Strength        |   1.5228687739463602   |   1.5357945425361155   |   1.3594622019279556  |   1.1183574879227052   |   1.3594622019279556   |   1.220596672403901    |   1.6842279655400927   |  1.714050737015246   |  1.4726704841228528  |   1.2332118688183238   |   1.1934106976123784   |  1.4726704841228528  |  1.438842203548086   |   0.9602947196070404  |  1.4451391059706158  |  1.416179775280899   |  1.416179775280899   |   1.3191058330422631  |   1.2965650080256819  |   1.2965650080256819  |  1.5357945425361155  |  1.3233170277195434  |  1.5429769392033543  |   1.220596672403901    |  1.3025889967637538  |   1.2398528665651953  |  1.5228687739463602  |  1.3594622019279556  |  1.409961685823755   |  1.5228687739463602  |   1.130426467775865   |   1.1202435312024352  |  1.5228687739463602  |   0.9721421709894331  |   1.1911068044788973   |   1.0691958322201442   |    1.08005042546486    |   1.364697120158888    |   1.5202558635394456  |   0.9816933638443934  |   1.1982367085225756  |  1.5357945425361155  |  1.4771727329866868  |  1.3023766225622375  |   0.9680295680295681  |    1.27752932788904   |    1.05427027027027   |  0.8807930187240531  |   1.0435571687840293  |  1.4118505218269555  |  1.364697120158888   |  1.3971713424530487  |  1.364697120158888   |  1.4118505218269555  |  1.364697120158888   |   1.0778032036613272  |
|              Cosine              |   0.5378528742004771   |   0.5504818825631802   |   0.4618802153517006  |   0.2637521893583148   |   0.4618802153517006   |  0.29019050004400465   |   0.6324555320336759   |  0.628970902033151   |  0.5270462766947299  |  0.42163702135578396   |   0.4147806778921701   |  0.5270462766947299  |  0.5184758473652127  |  0.39129279043561477  |  0.5039032598602688  | 0.49543369430686224  | 0.49543369430686224  |   0.4723774929733302  |  0.44038550605054416  |  0.44038550605054416  |  0.5504818825631802  | 0.42600643361512924  |  0.5477225575051662  |  0.29019050004400465   |  0.4472135954999579  |  0.40414518843273806  |  0.5378528742004771  |  0.4618802153517006  |  0.4780914437337574  |  0.5378528742004771  |   0.2176428750330035  |  0.34641016151377546  |  0.5378528742004771  |   0.3639126714370255  |   0.3227486121839514   |         0.3125         |  0.35355339059327373   |   0.451848057057532    |   0.5443310539518174  |  0.14744195615489714  |         0.375         |  0.5504818825631802  |  0.5132002392796673  | 0.42600643361512924  |  0.07647191129018724  |   0.4190790380624748  |   0.3429971702850177  | 0.32444284226152503  |   0.3487429162314578  | 0.47628967220784024  |  0.451848057057532   |  0.4677071733467427  |  0.451848057057532   | 0.47628967220784024  |  0.451848057057532   |   0.2211629342323457  |
|         Interestingness          |  0.28805529300567106   |   0.3015982127513318   |  0.21252678008821677  |  0.06943371414481794   |  0.21252678008821677   |  0.08405133817530594   |  0.39810964083175804   |  0.3933608924157128  |  0.2764650283553875  |  0.17710565007351395   |  0.17139256458727156   |  0.2764650283553875  | 0.26754680163424593  |  0.15253118188149525  |  0.2528385016977678  | 0.24441055164117545  | 0.24441055164117545  |  0.22219141058288683  |  0.19320616371656066  |  0.19320616371656066  |  0.3015982127513318  | 0.18088111741230836  |  0.2987240075614367  |  0.08405133817530594   | 0.19924385633270322  |  0.16279300567107755  | 0.28805529300567106  | 0.21252678008821677  | 0.22770726438023223  | 0.28805529300567106  |  0.047301263555865086 |  0.11965973534971643  | 0.28805529300567106  |   0.1319943289224953  |   0.1039205261499685   |  0.09742549326559546   |  0.12464555765595463   |   0.2034912570888469   |   0.2951760834558566  |  0.021718583052519107 |  0.14022625236294894  |  0.3015982127513318  |  0.2623787408496503  | 0.18088111741230836  |  0.005845189533379763 |   0.1750462426570726  |  0.11731346602913377  |  0.1049646801313302  |  0.12127675880038827  | 0.22610139676538543  |  0.2034912570888469  |  0.2180263468809074  |  0.2034912570888469  | 0.22610139676538543  |  0.2034912570888469  |  0.048843696063121556 |
|        Comprehensibility         |  0.33333333333333337   |   0.3868528072345416   |   0.3868528072345416  |  0.43067655807339306   |  0.43067655807339306   |  0.43067655807339306   |  0.43067655807339306   |         0.5          |         0.5          |          0.5           |          0.5           |         0.5          |         0.5          |          0.5          |         0.5          |         0.5          |         0.5          |          0.5          |          0.5          |          0.5          |         0.5          |         0.5          |         0.5          |          0.5           |         0.5          |          0.5          |         0.5          |         0.5          |         0.5          |         0.5          |          0.5          |          0.5          |         0.5          |          0.5          |          0.5           |   0.3562071871080222   |   0.3868528072345416   |  0.43067655807339306   |  0.43067655807339306  |  0.43067655807339306  |  0.43067655807339306  |         0.5          |         0.5          |         0.5          |          0.5          |          0.5          |          0.5          |         0.5          |          0.5          |         0.5          |         0.5          |         0.5          |         0.5          |         0.5          |         0.5          |          0.5          |
|           Completeness           |   0.3214285714285714   |   0.3333333333333333   |  0.26666666666666666  |  0.17391304347826086   |  0.26666666666666666   |  0.21052631578947367   |          0.4           | 0.42857142857142855  |  0.3333333333333333  |  0.26666666666666666   |  0.25806451612903225   |  0.3333333333333333  |  0.3225806451612903  |  0.21052631578947367  |  0.3103448275862069  |         0.3          |         0.3          |  0.27272727272727276  |  0.26666666666666666  |  0.26666666666666666  |  0.3333333333333333  | 0.25925925925925924  |  0.3333333333333333  |  0.21052631578947367   |         0.25         |  0.23333333333333334  |  0.3214285714285714  | 0.26666666666666666  |  0.2857142857142857  |  0.3214285714285714  |  0.15789473684210525  |  0.19999999999999998  |  0.3214285714285714  |   0.1891891891891892  |  0.20833333333333334   |        0.15625         |  0.16666666666666666   |  0.23333333333333334   |   0.2962962962962963  |  0.08695652173913043  |         0.1875        |  0.3333333333333333  |  0.2962962962962963  | 0.23333333333333334  |  0.05263157894736842  |  0.22580645161290325  |  0.17647058823529413  | 0.15789473684210525  |  0.16216216216216214  | 0.25925925925925924  | 0.23333333333333334  |         0.25         | 0.23333333333333334  | 0.25925925925925924  | 0.23333333333333334  |  0.13043478260869565  |
|           Added Value            |  0.29130434782608694   |   0.2569169960474308   |  0.14782608695652177  |  -0.09999999999999998  |  0.14782608695652177   | -0.013043478260869545  |   0.4565217391304348   | 0.31438127090301005  |  0.1811594202898551  |  0.01449275362318836   | -0.007246376811594235  |  0.1811594202898551  |  0.1594202898550725  |  -0.09881422924901195 | 0.18774703557312256  | 0.16600790513833996  | 0.16600790513833996  |  0.10079051383399218  |  0.07509881422924891  |  0.07509881422924891  |  0.2569169960474308  | 0.11304347826086958  | 0.31304347826086953  | -0.013043478260869545  | 0.10434782608695659  |  0.047826086956521796 | 0.29130434782608694  | 0.14782608695652177  | 0.19130434782608696  | 0.29130434782608694  |  -0.11304347826086958 |  -0.05217391304347829 | 0.29130434782608694  |  -0.10434782608695647 | -0.021739130434782594  |  -0.07065217391304346  |  -0.03260869565217395  |  0.22282608695652184   |   0.4130434782608695  |         -0.25         |  0.05434782608695654  |  0.2569169960474308  | 0.30193236714975835  | 0.12560386473429952  |  -0.30193236714975846 |  0.10386473429951693  |  -0.07246376811594202 | -0.1594202898550725  |  -0.05434782608695654 |  0.2880434782608696  | 0.22282608695652184  | 0.26630434782608703  | 0.22282608695652184  |  0.2880434782608696  | 0.22282608695652184  |         -0.125        |
|        Casual Confidence         |         0.575          |   0.5974025974025974   |   0.5111111111111111  |  0.25555555555555554   |   0.5111111111111111   |  0.25555555555555554   |   0.6388888888888888   |  0.6433566433566433  |  0.5637254901960784  |   0.4509803921568627   |   0.4509803921568627   |  0.5637254901960784  |  0.5637254901960784  |  0.47792207792207786  |  0.5376623376623377  |  0.5376623376623377  |  0.5376623376623377  |   0.5376623376623377  |  0.47792207792207786  |  0.47792207792207786  |  0.5974025974025974  | 0.44722222222222224  |        0.575         |  0.25555555555555554   |  0.5111111111111111  |  0.44722222222222224  |        0.575         |  0.5111111111111111  |  0.5111111111111111  |        0.575         |  0.19166666666666665  |   0.3833333333333333  |        0.575         |  0.44722222222222224  |   0.3194444444444444   |   0.3782894736842105   |  0.45394736842105265   |   0.5296052631578948   |   0.6052631578947368  |   0.1513157894736842  |  0.45394736842105265  |  0.5974025974025974  |  0.5525525525525525  | 0.48348348348348347  |  0.06906906906906907  |  0.48348348348348347  |   0.4144144144144144  |  0.4144144144144144  |  0.45394736842105265  |  0.5296052631578948  |  0.5296052631578948  |  0.5296052631578948  |  0.5296052631578948  |  0.5296052631578948  |  0.5296052631578948  |  0.22697368421052633  |
|          Casual Support          |   0.5652173913043478   |   0.5434782608695652   |   0.4782608695652174  |  0.45652173913043476   |   0.4782608695652174   |   0.5434782608695652   |   0.6739130434782609   |  0.6304347826086956  |  0.5217391304347826  |  0.43478260869565216   |  0.41304347826086957   |  0.5217391304347826  |         0.5          |   0.2826086956521739  |  0.5217391304347826  |         0.5          |         0.5          |   0.4347826086956522  |  0.45652173913043476  |  0.45652173913043476  |  0.5434782608695652  |         0.5          |  0.5869565217391305  |   0.5434782608695652   | 0.43478260869565216  |  0.43478260869565216  |  0.5652173913043478  |  0.4782608695652174  |  0.5217391304347826  |  0.5652173913043478  |          0.5          |   0.3913043478260869  |  0.5652173913043478  |  0.28260869565217395  |  0.47826086956521735   |  0.34782608695652173   |  0.30434782608695654   |   0.4782608695652174   |   0.5869565217391304  |   0.4130434782608695  |   0.3913043478260869  |  0.5434782608695652  |  0.5652173913043479  |  0.4565217391304348  |  0.43478260869565216  |  0.43478260869565216  |  0.32608695652173914  |  0.2391304347826087  |  0.28260869565217395  |  0.5434782608695652  |  0.4782608695652174  |  0.5217391304347826  |  0.4782608695652174  |  0.5434782608695652  |  0.4782608695652174  |   0.4565217391304348  |
|         Certainty Factor         |   0.7444444444444445   |   0.7386363636363635   |   0.4250000000000001  |  -0.19999999999999996  |   0.4250000000000001   | -0.022222222222222192  |          1.0           |  0.8034188034188036  |  0.5208333333333335  |  0.04166666666666653   |  -0.02222222222222232  |  0.5208333333333335  |  0.488888888888889   |  -0.5681818181818188  |  0.5080213903743317  |  0.4772727272727274  |  0.4772727272727274  |   0.3566433566433569  |  0.21590909090909063  |  0.21590909090909063  |  0.7386363636363635  | 0.27368421052631586  |  0.7578947368421053  | -0.022222222222222192  |  0.342857142857143   |  0.13750000000000018  |  0.7444444444444445  |  0.4250000000000001  | 0.48888888888888893  |  0.7444444444444445  |  -0.19259259259259262 |  -0.1500000000000001  |  0.7444444444444445  |  -0.5333333333333331  |  -0.04545454545454542  |  -0.23214285714285707  |  -0.1500000000000002   |   0.6406250000000003   |          1.0          |          -0.5         |  0.17857142857142863  |  0.7386363636363635  |  0.7309941520467834  |  0.3611111111111111  |  -0.5144032921810701  |   0.3185185185185186  |  -0.2777777777777777  |  -0.916666666666667  |  -0.2777777777777779  |  0.6973684210526319  |  0.6406250000000003  |  0.6805555555555558  |  0.6406250000000003  |  0.6973684210526319  |  0.6406250000000003  |         -0.25         |
|            Conviction            |   3.913043478260869    |   3.8260869565217392   |   1.7391304347826086  |   0.8333333333333334   |   1.7391304347826086   |   0.9782608695652174   |          inf           |   5.08695652173913   |  2.0869565217391304  |   1.0434782608695652   |   0.9782608695652173   |  2.0869565217391304  |  1.9565217391304346  |   0.6376811594202899  |  2.032608695652174   |  1.9130434782608696  |  1.9130434782608696  |   1.5543478260869568  |   1.2753623188405798  |   1.2753623188405798  |  3.8260869565217392  |  1.3768115942028982  |  4.130434782608695   |   0.9782608695652174   |  1.521739130434783   |   1.1594202898550725  |  3.913043478260869   |  1.7391304347826086  |  1.9565217391304346  |  3.913043478260869   |   0.8385093167701863  |   0.8695652173913043  |  3.913043478260869   |   0.6521739130434783  |   0.9565217391304347   |   0.8115942028985508   |   0.8695652173913042   |   2.782608695652174    |          inf          |   0.6666666666666666  |   1.2173913043478262  |  3.8260869565217392  |  3.7173913043478257  |  1.565217391304348   |   0.6603260869565217  |   1.4673913043478262  |   0.7826086956521741  |  0.5217391304347826  |   0.782608695652174   |  3.304347826086956   |  2.782608695652174   |  3.130434782608696   |  2.782608695652174   |  3.304347826086956   |  2.782608695652174   |          0.8          |
|        Coverage (Support)        |  0.21739130434782608   |   0.2391304347826087   |  0.21739130434782608  |  0.21739130434782608   |  0.21739130434782608   |  0.21739130434782608   |  0.21739130434782608   |  0.2826086956521739  |  0.2608695652173913  |   0.2608695652173913   |   0.2608695652173913   |  0.2608695652173913  |  0.2608695652173913  |   0.2391304347826087  |  0.2391304347826087  |  0.2391304347826087  |  0.2391304347826087  |   0.2391304347826087  |   0.2391304347826087  |   0.2391304347826087  |  0.2391304347826087  | 0.21739130434782608  | 0.21739130434782608  |  0.21739130434782608   | 0.21739130434782608  |  0.21739130434782608  | 0.21739130434782608  | 0.21739130434782608  | 0.21739130434782608  | 0.21739130434782608  |  0.21739130434782608  |  0.21739130434782608  | 0.21739130434782608  |  0.21739130434782608  |  0.21739130434782608   |  0.17391304347826086   |  0.17391304347826086   |  0.17391304347826086   |  0.17391304347826086  |  0.17391304347826086  |  0.17391304347826086  |  0.2391304347826087  |  0.1956521739130435  |  0.1956521739130435  |   0.1956521739130435  |   0.1956521739130435  |   0.1956521739130435  |  0.1956521739130435  |  0.17391304347826086  | 0.17391304347826086  | 0.17391304347826086  | 0.17391304347826086  | 0.17391304347826086  | 0.17391304347826086  | 0.17391304347826086  |  0.17391304347826086  |
