+----------------------------------+------------------------+------------------------+------------------------+-----------------------+------------------------+------------------------+-----------------------+------------------------+-----------------------+-----------------------+-----------------------+------------------------+----------------------+----------------------+------------------------+----------------------+------------------------+----------------------+----------------------+-----------------------+----------------------+-----------------------+-----------------------+------------------------+----------------------+-----------------------+-----------------------+------------------------+-----------------------+----------------------+-----------------------+------------------------+----------------------+------------------------+------------------------+-----------------------+------------------------+------------------------+-----------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+----------------------+----------------------+----------------------+-----------------------+-----------------------+-----------------------+
|              Metric              |           P1           |           P2           |           P3           |           P4          |           P5           |           P6           |           P7          |           P8           |           P9          |          P10          |          P11          |          P12           |         P13          |         P14          |          P15           |         P16          |          P17           |         P18          |         P19          |          P20          |         P21          |          P22          |          P23          |          P24           |         P25          |          P26          |          P27          |          P28           |          P29          |         P30          |          P31          |          P32           |         P33          |          P34           |          P35           |          P36          |          P37           |          P38           |          P39          |          P40           |          P41           |          P42           |          P43          |          P44          |         P45          |         P46          |         P47          |          P48          |          P49          |          P50          |
|        Standardised Lift         |          0.8           |   0.6000000000000001   |   0.6666666666666665   |   0.8571428571428572  |   0.7999999999999999   |  0.33333333333333326   |   0.7499999999999998  |          0.8           |          0.8          |  0.16666666666666666  |   0.6666666666666666  |  0.33333333333333326   |  0.8333333333333336  |  0.8333333333333336  |   0.6000000000000002   |  0.8000000000000002  |   0.6000000000000002   |         1.0          |  0.8000000000000002  |          0.6          |  0.8000000000000002  |          0.6          |   0.8000000000000002  |   0.6000000000000002   |  0.8000000000000002  |   0.8000000000000002  |          0.6          |   0.6000000000000002   |   0.6000000000000001  |  0.7999999999999999  |   0.6000000000000001  |   0.6000000000000002   |         1.0          |          0.8           |          0.9           |   0.7500000000000001  |          0.25          |   0.7500000000000001   |   0.7500000000000001  |   0.7499999999999999   |   0.7500000000000001   |   0.6666666666666665   |          0.75         |          0.5          |  1.0000000000000002  |  0.7500000000000002  |  0.7500000000000001  |          0.5          |   0.7500000000000001  |   0.7499999999999998  |
|       Collective Strength        |   1.2822125813449026   |   1.174945770065076    |   1.0942834313939127   |   1.4118505218269555  |   1.220345744680851    |   0.9162350533921607   |   1.0425315597729392  |   1.2822125813449026   |   1.2822125813449026  |   1.0100334448160535  |   1.065738415886784   |   1.1685475850737235   |  1.3067699686404723  |  1.3067699686404723  |   1.1275609756097562   |  1.2481707317073172  |   1.1275609756097562   |  1.389479392624729   |  1.2481707317073172  |   0.952405498281787   |  1.2604215456674475  |   1.015538461538462   |   1.2481707317073172  |   1.1275609756097562   |  1.2481707317073172  |   1.2481707317073172  |   1.1603603603603603  |   1.1275609756097562   |   1.174945770065076   |  1.2717342342342342  |   1.0423976608187133  |   1.1275609756097562   |  1.4009090909090909  |   1.2822125813449026   |   1.5357945425361155   |   1.2176976036718796  |   1.0862076408374703   |   1.2176976036718796   |   1.2176976036718796  |   1.2088449358297684   |   1.2176976036718796   |   1.0942834313939127   |   1.1647504485944042  |   1.0505543237250556  |  1.324491647542296   |  1.188767173031532   |  1.247083775185578   |   1.0505543237250556  |   1.2176976036718796  |   0.9911407634255713  |
|              Cosine              |  0.39283710065919303   |  0.31426968052735443   |   0.3241018617760822   |  0.47628967220784024  |  0.36084391824351614   |  0.20365326999063918   |   0.3785166493051126  |  0.39283710065919303   |  0.39283710065919303  |   0.1576220812478201  |   0.3194382824999699  |   0.260132990857236    |  0.4140393356054125  |  0.4140393356054125  |  0.29814239699997197   | 0.37267799624996495  |  0.29814239699997197   |  0.4714045207910316  | 0.37267799624996495  |   0.2684624220856097  | 0.37904902178945166  |   0.2760262237369417  |  0.37267799624996495  |  0.29814239699997197   | 0.37267799624996495  |  0.37267799624996495  |   0.3086066999241838  |  0.29814239699997197   |  0.31426968052735443  |  0.3857583749052298  |   0.280056016805602   |  0.29814239699997197   |  0.4898979485566356  |  0.39283710065919303   |   0.5504818825631802   |  0.34426518632954817  |  0.19518001458970663   |  0.34426518632954817   |  0.34426518632954817  |   0.3380617018914066   |  0.34426518632954817   |   0.3241018617760822   |   0.3162277660168379  |  0.24096579867074966  |  0.4303314829119352  |  0.3265986323710904  | 0.37300192329612547  |  0.24096579867074966  |  0.34426518632954817  |   0.282842712474619   |
|         Interestingness          |  0.15395633503699035   |  0.09857872995869214   |  0.10479380788232116   |  0.22610139676538543  |  0.12990065768746062   |  0.04141585288301551   |  0.14280088216761186  |  0.15395633503699035   |  0.15395633503699035  |  0.02482123777430755  |   0.1017996990856834  |  0.06757323365123584   | 0.17094247907102347  | 0.17094247907102347  |  0.08872085696282292   | 0.13856070153329134  |  0.08872085696282292   | 0.22159210249947486  | 0.13856070153329134  |  0.07193582996985642  | 0.14333865675857724  |   0.0760464488252768  |  0.13856070153329134  |  0.08872085696282292   | 0.13856070153329134  |  0.13856070153329134  |   0.095058061031596   |  0.08872085696282292   |  0.09857872995869214  |  0.148457894499955   |  0.07828310908484376  |  0.08872085696282292   |  0.2393194706994329  |  0.15395633503699035   |   0.3015982127513318   |  0.11829447595043058  |  0.03805923125393825   |  0.11829447595043058   |  0.11829447595043058  |   0.1140696732379152   |  0.11829447595043058   |  0.10479380788232116   |   0.0998109640831758  |  0.05798219403622172  | 0.18474760204438842  | 0.10646502835538753  | 0.13886742828963589  |  0.05798219403622172  |  0.11829447595043058  |  0.07984877126654066  |
|        Comprehensibility         |   0.3154648767857287   |   0.3562071871080222   |   0.3868528072345416   |  0.43067655807339306  |   0.3868528072345416   |  0.43067655807339306   |          0.5          |  0.43067655807339306   |  0.43067655807339306  |          0.5          |          0.5          |          0.5           |         0.5          |         0.5          |          0.5           |         0.5          |          0.5           |         0.5          |         0.5          |          0.5          |         0.5          |          0.5          |          0.5          |          0.5           |         0.5          |          0.5          |          0.5          |          0.5           |          0.5          |         0.5          |          0.5          |          0.5           |         0.5          |   0.3562071871080222   |          0.5           |   0.3868528072345416  |   0.3868528072345416   |   0.3868528072345416   |  0.43067655807339306  |  0.43067655807339306   |  0.43067655807339306   |          0.5           |          0.5          |          0.5          |         0.5          |         0.5          |         0.5          |          0.5          |          0.5          |          0.5          |
|           Completeness           |  0.18518518518518517   |  0.14814814814814814   |  0.14705882352941177   |  0.25925925925925924  |        0.15625         |   0.0967741935483871   |   0.1842105263157895  |  0.18518518518518517   |  0.18518518518518517  |  0.08695652173913043  |  0.14285714285714285  |  0.15789473684210525   | 0.19999999999999998  | 0.19999999999999998  |  0.13333333333333333   | 0.16666666666666666  |  0.13333333333333333   | 0.22222222222222218  | 0.16666666666666666  |   0.1081081081081081  | 0.17241379310344826  |  0.11428571428571428  |  0.16666666666666666  |  0.13333333333333333   | 0.16666666666666666  |  0.16666666666666666  |  0.14285714285714285  |  0.13333333333333333   |  0.14814814814814814  | 0.17857142857142855  |  0.11764705882352941  |  0.13333333333333333   | 0.24000000000000002  |  0.18518518518518517   |   0.3333333333333333   |  0.14814814814814814  |  0.09523809523809525   |  0.14814814814814814   |  0.14814814814814814  |  0.14285714285714285   |  0.14814814814814814   |  0.14705882352941177   |         0.125         |   0.0967741935483871  | 0.18518518518518517  | 0.13333333333333333  | 0.17391304347826086  |   0.0967741935483871  |  0.14814814814814814  |          0.1          |
|           Added Value            |  0.24637681159420288   |  0.07971014492753614   | -0.024844720496894457  |   0.2880434782608696  |   0.1376811594202899   |  -0.24534161490683232  | -0.048309178743961345 |  0.24637681159420288   |  0.24637681159420288  |  -0.2142857142857143  |  -0.04658385093167716 |  0.01552795031055898   | 0.20496894409937882  | 0.20496894409937882  |  0.01449275362318836   |  0.1811594202898551  |  0.01449275362318836   |  0.4130434782608695  |  0.1811594202898551  |  -0.1376811594202899  |  0.2028985507246377  |  -0.09420289855072472 |   0.1811594202898551  |  0.01449275362318836   |  0.1811594202898551  |   0.1811594202898551  |  0.05797101449275355  |  0.01449275362318836   |  0.07971014492753614  |  0.2246376811594203  |  -0.07246376811594202 |  0.01449275362318836   |  0.4565217391304348  |  0.24637681159420288   |   0.2569169960474308   |  0.21304347826086956  | -0.056521739130434734  |  0.21304347826086956   |  0.21304347826086956  |  0.19130434782608696   |  0.21304347826086956   | -0.024844720496894457  |  0.10434782608695659  |  -0.07391304347826089 |  0.4130434782608695  | 0.14782608695652177  | 0.30000000000000004  |  -0.07391304347826089 |  0.21304347826086956  |  -0.06956521739130428 |
|        Casual Confidence         |   0.4791666666666667   |   0.3833333333333333   |   0.4212454212454212   |   0.5296052631578948  |   0.4791666666666667   |  0.25274725274725274   |  0.48348348348348347  |   0.4791666666666667   |   0.4791666666666667  |  0.16849816849816848  |   0.4212454212454212  |  0.25274725274725274   |  0.5054945054945055  |  0.5054945054945055  |   0.3833333333333333   |  0.4791666666666667  |   0.3833333333333333   |        0.575         |  0.4791666666666667  |   0.3833333333333333  |  0.4791666666666667  |   0.3833333333333333  |   0.4791666666666667  |   0.3833333333333333   |  0.4791666666666667  |   0.4791666666666667  |   0.3833333333333333  |   0.3833333333333333   |   0.3833333333333333  |  0.4791666666666667  |   0.3833333333333333  |   0.3833333333333333   |        0.575         |   0.4791666666666667   |   0.5974025974025974   |  0.44878048780487806  |  0.22439024390243903   |  0.44878048780487806   |  0.44878048780487806  |  0.44878048780487806   |  0.44878048780487806   |   0.4212454212454212   |  0.44878048780487806  |   0.3365853658536585  |  0.5609756097560976  | 0.44878048780487806  | 0.44878048780487806  |   0.3365853658536585  |  0.44878048780487806  |  0.44878048780487806  |
|          Casual Support          |          0.5           |  0.45652173913043476   |  0.32608695652173914   |   0.5434782608695652  |   0.3913043478260869   |  0.30434782608695654   |  0.28260869565217395  |          0.5           |          0.5          |   0.4347826086956522  |  0.30434782608695654  |   0.5652173913043478   |  0.4565217391304348  |  0.4565217391304348  |   0.391304347826087    | 0.43478260869565216  |   0.391304347826087    |  0.5434782608695652  | 0.43478260869565216  |   0.2391304347826087  | 0.45652173913043476  |  0.28260869565217395  |  0.43478260869565216  |   0.391304347826087    | 0.43478260869565216  |  0.43478260869565216  |  0.43478260869565216  |   0.391304347826087    |  0.45652173913043476  | 0.47826086956521735  |  0.30434782608695654  |   0.391304347826087    |  0.5869565217391304  |          0.5           |   0.5434782608695652   |   0.4782608695652174  |   0.5217391304347826   |   0.4782608695652174   |   0.4782608695652174  |  0.45652173913043476   |   0.4782608695652174   |  0.32608695652173914   |   0.3695652173913043  |  0.34782608695652173  |  0.5217391304347826  | 0.41304347826086957  |  0.5652173913043479  |  0.34782608695652173  |   0.4782608695652174  |  0.19565217391304346  |
|         Certainty Factor         |   0.5964912280701755   |  0.19298245614035067   |  -0.0952380952380954   |   0.6973684210526319  |  0.45238095238095255   |  -0.7523809523809524   |  -0.27777777777777773 |   0.5964912280701755   |   0.5964912280701755  |  -0.4285714285714286  |  -0.19480519480519545 |  0.026455026455026412  |  0.5892857142857142  |  0.5892857142857142  |  0.04166666666666653   |  0.5208333333333335  |  0.04166666666666653   |         1.0          |  0.5208333333333335  |   -0.703703703703704  |  0.5490196078431373  |  -0.39393939393939437 |   0.5208333333333335  |  0.04166666666666653   |  0.5208333333333335  |   0.5208333333333335  |  0.14814814814814797  |  0.04166666666666653   |  0.19298245614035067  |  0.5740740740740742  |  -0.2777777777777777  |  0.04166666666666653   |         1.0          |   0.5964912280701755   |   0.7386363636363635   |   0.5157894736842106  |  -0.10399999999999991  |   0.5157894736842106   |   0.5157894736842106  |  0.48888888888888893   |   0.5157894736842106   |  -0.0952380952380954   |   0.342857142857143   |  -0.2266666666666667  |         1.0          |  0.4250000000000001  |  0.6000000000000001  |  -0.2266666666666667  |   0.5157894736842106  |  -0.5333333333333327  |
|            Conviction            |   2.4782608695652173   |   1.2391304347826086   |   0.9130434782608698   |   3.304347826086956   |   1.8260869565217395   |   0.5706521739130436   |   0.782608695652174   |   2.4782608695652173   |   2.4782608695652173  |   0.7000000000000001  |   0.8369565217391303  |   1.0271739130434783   |  2.4347826086956523  |  2.4347826086956523  |   1.0434782608695652   |  2.0869565217391304  |   1.0434782608695652   |         inf          |  2.0869565217391304  |   0.5869565217391304  |  2.2173913043478257  |   0.7173913043478259  |   2.0869565217391304  |   1.0434782608695652   |  2.0869565217391304  |   2.0869565217391304  |   1.1739130434782608  |   1.0434782608695652   |   1.2391304347826086  |  2.3478260869565215  |   0.7826086956521741  |   1.0434782608695652   |         inf          |   2.4782608695652173   |   3.8260869565217392   |   2.0652173913043477  |   0.9057971014492753   |   2.0652173913043477   |   2.0652173913043477  |   1.9565217391304346   |   2.0652173913043477   |   0.9130434782608698   |   1.521739130434783   |   0.8152173913043478  |         inf          |  1.7391304347826086  |         2.5          |   0.8152173913043478  |   2.0652173913043477  |   0.6521739130434784  |
|        Coverage (Support)        |  0.13043478260869565   |  0.13043478260869565   |  0.15217391304347827   |  0.17391304347826086  |  0.13043478260869565   |  0.15217391304347827   |   0.1956521739130435  |  0.13043478260869565   |  0.13043478260869565  |  0.15217391304347827  |  0.15217391304347827  |  0.15217391304347827   | 0.15217391304347827  | 0.15217391304347827  |  0.13043478260869565   | 0.13043478260869565  |  0.13043478260869565   | 0.13043478260869565  | 0.13043478260869565  |  0.13043478260869565  | 0.13043478260869565  |  0.13043478260869565  |  0.13043478260869565  |  0.13043478260869565   | 0.13043478260869565  |  0.13043478260869565  |  0.13043478260869565  |  0.13043478260869565   |  0.13043478260869565  | 0.13043478260869565  |  0.13043478260869565  |  0.13043478260869565   | 0.13043478260869565  |  0.13043478260869565   |   0.2391304347826087   |  0.10869565217391304  |  0.10869565217391304   |  0.10869565217391304   |  0.10869565217391304  |  0.10869565217391304   |  0.10869565217391304   |  0.15217391304347827   |  0.10869565217391304  |  0.10869565217391304  | 0.10869565217391304  | 0.10869565217391304  | 0.10869565217391304  |  0.10869565217391304  |  0.10869565217391304  |  0.10869565217391304  |
| Descriptive Confirmed Confidence |   0.6666666666666667   |   0.3333333333333333   |   0.4285714285714285   |   0.7500000000000001  |   0.6666666666666667   |  -0.14285714285714285  |   0.5555555555555556  |   0.6666666666666667   |   0.6666666666666667  |  -0.4285714285714285  |   0.4285714285714285  |  -0.14285714285714285  |  0.7142857142857142  |  0.7142857142857142  |   0.3333333333333333   |  0.6666666666666667  |   0.3333333333333333   |         1.0          |  0.6666666666666667  |   0.3333333333333333  |  0.6666666666666667  |   0.3333333333333333  |   0.6666666666666667  |   0.3333333333333333   |  0.6666666666666667  |   0.6666666666666667  |   0.3333333333333333  |   0.3333333333333333   |   0.3333333333333333  |  0.6666666666666667  |   0.3333333333333333  |   0.3333333333333333   |         1.0          |   0.6666666666666667   |   0.8181818181818181   |   0.6000000000000001  |  -0.19999999999999996  |   0.6000000000000001   |   0.6000000000000001  |   0.6000000000000001   |   0.6000000000000001   |   0.4285714285714285   |   0.6000000000000001  |  0.19999999999999996  |         1.0          |  0.6000000000000001  |  0.6000000000000001  |  0.19999999999999996  |   0.6000000000000001  |   0.6000000000000001  |
|    Difference of Proportions     |   0.2833333333333333   |  0.09166666666666656   | -0.029304029304029422  |  0.34868421052631593  |  0.15833333333333333   |  -0.2893772893772894   |  -0.06006006006006004 |   0.2833333333333333   |   0.2833333333333333  |  -0.25274725274725274 |  -0.05494505494505508 |  0.018315018315018305  | 0.24175824175824168  | 0.24175824175824168  |  0.016666666666666607  | 0.20833333333333337  |  0.016666666666666607  |        0.475         | 0.20833333333333337  |  -0.15833333333333333 |  0.2333333333333334  |  -0.10833333333333339 |  0.20833333333333337  |  0.016666666666666607  | 0.20833333333333337  |  0.20833333333333337  |  0.06666666666666665  |  0.016666666666666607  |  0.09166666666666656  |  0.2583333333333333  |  -0.08333333333333337 |  0.016666666666666607  |  0.5249999999999999  |   0.2833333333333333   |  0.33766233766233766   |  0.23902439024390243  |  -0.06341463414634146  |  0.23902439024390243   |  0.23902439024390243  |   0.2146341463414635   |  0.23902439024390243   | -0.029304029304029422  |  0.11707317073170731  |  -0.08292682926829276 | 0.46341463414634143  |  0.1658536585365854  | 0.33658536585365856  |  -0.08292682926829276 |  0.23902439024390243  |  -0.07804878048780495 |
|   Example and Counter Example    |          0.8           |          0.5           |          0.6           |   0.8571428571428572  |          0.8           |  -0.3333333333333333   |   0.7142857142857143  |          0.8           |          0.8          |          -1.5         |          0.6          |  -0.3333333333333333   |  0.8333333333333334  |  0.8333333333333334  |          0.5           |         0.8          |          0.5           |         1.0          |         0.8          |          0.5          |         0.8          |          0.5          |          0.8          |          0.5           |         0.8          |          0.8          |          0.5          |          0.5           |          0.5          |         0.8          |          0.5          |          0.5           |         1.0          |          0.8           |   0.8999999999999999   |          0.75         |          -0.5          |          0.75          |          0.75         |          0.75          |          0.75          |          0.6           |          0.75         |   0.3333333333333333  |         1.0          |         0.75         |         0.75         |   0.3333333333333333  |          0.75         |          0.75         |
