+----------------------------------+-----------------------+-----------------------+------------------------+-----------------------+-----------------------+-----------------------+-----------------------+------------------------+------------------------+------------------------+------------------------+------------------------+----------------------+
|              Metric              |           P1          |           P2          |           P3           |           P4          |           P5          |           P6          |           P7          |           P8           |           P9           |          P10           |          P11           |          P12           |         P13          |
|        Coverage (Support)        |  0.05384615384615385  |  0.06923076923076923  |  0.046153846153846156  |  0.038461538461538464 |  0.038461538461538464 |  0.038461538461538464 |  0.038461538461538464 |  0.038461538461538464  |  0.046153846153846156  |  0.046153846153846156  |  0.046153846153846156  |  0.038461538461538464  | 0.03076923076923077  |
| Descriptive Confirmed Confidence |  -0.7142857142857142  |  -0.7777777777777777  |  -0.6666666666666667   |  -0.6000000000000001  |  -0.6000000000000001  |  -0.6000000000000001  |  -0.19999999999999996 |  -0.6000000000000001   |  -0.3333333333333333   |  -0.3333333333333333   |  -0.3333333333333333   |  -0.19999999999999996  |         1.0          |
|    Difference of Proportions     |  -0.23112659698025556 |  -0.26905417814508725 |  -0.1559139784946237   |         -0.12         |  -0.16799999999999998 |         -0.12         |  0.08000000000000002  |  -0.16799999999999998  |  0.018817204301075252  |  0.018817204301075252  |  0.018817204301075252  |  0.040000000000000036  |  0.6984126984126984  |
|   Example and Counter Example    |          -5.0         |          -7.0         |          -4.0          |          -3.0         |          -3.0         |          -3.0         |          -0.5         |          -3.0          |          -1.0          |          -1.0          |          -1.0          |          -0.5          |         1.0          |
|         Imbalance Ratio          |   0.7547169811320754  |   0.6909090909090909  |   0.7608695652173914   |          0.8          |   0.8235294117647058  |          0.8          |   0.8222222222222222  |   0.8235294117647058   |   0.7777777777777778   |   0.7777777777777778   |   0.7777777777777778   |   0.8400000000000001   |  0.9047619047619048  |
|  Fisher's Exact Test (p-value)   |    0.96069657719548   |   0.985070671065856   |   0.902554613365637    |   0.8549919841750551  |   0.8985675901648251  |   0.8549919841750551  |   0.5209847567131032  |   0.8985675901648251   |   0.6171788382221453   |   0.6171788382221453   |   0.6171788382221453   |   0.5968382697690516   | 0.009853964475370791 |
|         Hyper Confidence         |  0.03930342280452004  |  0.014929328934144004 |  0.09744538663436297   |  0.14500801582494494  |  0.10143240983517487  |  0.14500801582494494  |   0.4790152432868968  |  0.10143240983517487   |  0.38282116177785475   |  0.38282116177785475   |  0.38282116177785475   |  0.40316173023094837   |  0.9901460355246292  |
|            Hyper Lift            |          0.2          |  0.16666666666666666  |          0.25          |   0.3333333333333333  |          0.25         |   0.3333333333333333  |   0.6666666666666666  |          0.25          |          0.5           |          0.5           |          0.5           |          0.5           |  1.3333333333333333  |
|   Laplace Corrected Confidence   |          0.2          |  0.16666666666666666  |   0.2222222222222222   |          0.25         |          0.25         |          0.25         |         0.375         |          0.25          |   0.3333333333333333   |   0.3333333333333333   |   0.3333333333333333   |         0.375          |  0.7142857142857143  |
|            Importance            |  -0.5440680443502756  |  -0.6532125137753436  |  -0.47712125471966244  |  -0.39794000867203755 |  -0.39794000867203755 |  -0.39794000867203755 |  -0.12493873660829993 |  -0.39794000867203755  |  -0.22184874961635637  |  -0.22184874961635637  |  -0.22184874961635637  |  -0.12493873660829993  |  0.6989700043360187  |
|       Jaccard Coefficient        |  0.01886792452830189  |  0.01818181818181818  |  0.02173913043478261   |  0.022222222222222223 |   0.0196078431372549  |  0.022222222222222223 |  0.04444444444444444  |   0.0196078431372549   |  0.044444444444444446  |  0.044444444444444446  |  0.044444444444444446  |          0.04          | 0.09523809523809523  |
|            J-Measure             | 0.0028019867396750805 |  0.004902345267683438 |  0.001152836486730412  | 0.0005597140143580974 | 0.0010361267517378977 | 0.0005597140143580974 | 0.0002180299853440969 | 0.0010361267517378977  | 1.4806370460373173e-05 | 1.4806370460373173e-05 | 1.4806370460373173e-05 | 5.277309493371507e-05  | 0.015098278827967269 |
|              Kappa               |  -0.06255894372838733 |  -0.09107864470003102 |  -0.04129583481666038  | -0.026929982046678774 |  -0.03338632750397467 | -0.026929982046678774 |  0.01757469244288202  |  -0.03338632750397467  |  0.004983980064080249  |  0.004983980064080249  |  0.004983980064080249  |  0.007949125596184459  | 0.12473423104181429  |
|             Klosgen              |  -0.01917962042220866 | -0.021963931594611928 | -0.013043426953796844  | -0.010119900222773412 | -0.014167860311882777 | -0.010119900222773412 |  0.009541133429939112 | -0.014167860311882777  | 0.0022262644669857915  | 0.0022262644669857915  | 0.0022262644669857915  |  0.00477056671496956   | 0.11874016261387473  |
|            Kulczynski            |  0.08206686930091185  |  0.06619385342789598  |  0.09552845528455284   |  0.11219512195121951  |  0.11063829787234043  |  0.11219512195121951  |  0.22380952380952382  |  0.11063829787234043   |  0.19105691056910568   |  0.19105691056910568   |  0.19105691056910568   |  0.22127659574468087   |  0.5476190476190477  |
|     Goodman-Kruskal's Lambda     |   0.3565891472868218  |   0.3565891472868218  |  0.31007751937984496   |  0.31007751937984496  |   0.3565891472868218  |  0.31007751937984496  |         0.3125        |   0.3565891472868218   |  0.30468750000000006   |  0.30468750000000006   |  0.30468750000000006   |   0.3515625000000001   | 0.30158730158730157  |
|       Least Contradiction        |  -0.10638297872340427 |  -0.14893617021276598 |  -0.0975609756097561   |  -0.07317073170731708 |  -0.06382978723404256 |  -0.07317073170731708 | -0.023809523809523808 |  -0.06382978723404256  |  -0.04878048780487805  |  -0.04878048780487805  |  -0.04878048780487805  | -0.021276595744680854  | 0.09523809523809523  |
|        Lerman Similarity         |  -0.9622400993955366  |  -1.2494697911702786  |  -0.6486624521741163   |  -0.45942291887376663 |  -0.6007360460751542  |  -0.45942291887376663 |   0.3026137663344012  |  -0.6007360460751542   |   0.0782868476761865   |   0.0782868476761865   |   0.0782868476761865   |  0.14303239192265574   |  2.381860632627374   |
|        Piatetsky-Shapiro         | -0.011775147928994083 | -0.017337278106508876 | -0.0068639053254437865 | -0.004437869822485207 |  -0.00621301775147929 | -0.004437869822485207 | 0.0029585798816568042 |  -0.00621301775147929  | 0.0008284023668639062  | 0.0008284023668639062  | 0.0008284023668639062  |  0.001479289940828403  | 0.020828402366863907 |
|          Max Confidence          |  0.14285714285714285  |   0.1111111111111111  |  0.16666666666666666   |          0.2          |          0.2          |          0.2          |          0.4          |          0.2           |   0.3333333333333333   |   0.3333333333333333   |   0.3333333333333333   |          0.4           |         1.0          |
|            Odds Ratio            |  0.27898550724637683  |  0.20380434782608695  |          0.42          |   0.5312499999999999  |   0.4293478260869565  |   0.5312499999999999  |   1.4166666666666665  |   0.4293478260869565   |   1.0897435897435896   |   1.0897435897435896   |   1.0897435897435896   |   1.1851851851851856   |         inf          |
|   Phi Correlation Coefficient    |  0.10858342230683446  |  0.14215616712422666  |  0.07040193400536206   |  0.04966315695436216  |  0.06724520397070925  |  0.04966315695436216  |  0.03289758474798845  |  0.06724520397070925   |  0.008496785138578176  |  0.008496785138578176  |  0.008496785138578176  |  0.016010762850168878  |  0.2579059810995543  |
|          Ralambondrainy          |  0.046153846153846156 |  0.06153846153846154  |  0.038461538461538464  |  0.03076923076923077  |  0.03076923076923077  |  0.03076923076923077  |  0.023076923076923078 |  0.03076923076923077   |  0.03076923076923077   |  0.03076923076923077   |  0.03076923076923077   |  0.023076923076923078  |         0.0          |
| Relative Linkage Disequilibrium  |   0.9999613466816126  |   0.9999737470793626  |   0.9999336913997745   |   0.9998974464157522  |   0.9999267452933851  |   0.9998974464157522  |   0.9995386744579425  |   0.9999267452933851   |   0.9978070175438597   |   0.9978070175438597   |   0.9978070175438597   |   0.9990777743621272   |         1.0          |
|          Relative Risk           |   0.3819875776397515  |  0.29227053140096615  |   0.5166666666666666   |         0.625         |   0.5434782608695653  |         0.625         |          1.25         |   0.5434782608695653   |   1.0598290598290598   |   1.0598290598290598   |   1.0598290598290598   |   1.1111111111111112   |   3.31578947368421   |
|        Rule Power Factor         |  0.001098901098901099 | 0.0008547008547008547 |  0.001282051282051282  | 0.0015384615384615385 | 0.0015384615384615385 | 0.0015384615384615385 |  0.006153846153846154 | 0.0015384615384615385  |  0.005128205128205128  |  0.005128205128205128  |  0.005128205128205128  |  0.006153846153846154  | 0.03076923076923077  |
|         Sebag-Schoenauer         |  0.16666666666666666  |         0.125         |          0.2           |          0.25         |          0.25         |          0.25         |   0.6666666666666666  |          0.25          |          0.5           |          0.5           |          0.5           |   0.6666666666666666   |         inf          |
|              Yule Q              |  -0.5637393767705382  |  -0.6613995485327313  |  -0.4084507042253521   |  -0.3061224489795919  |  -0.3992395437262357  |  -0.3061224489795919  |  0.17241379310344826  |  -0.3992395437262357   |  0.04294478527607358   |  0.04294478527607358   |  0.04294478527607358   |  0.08474576271186453   |         1.0          |
|              Yule Y              |  -0.30873711403884047 |  -0.37793530881664517 |  -0.21353769020418611  |  -0.15682565608250645 |  -0.20827933362262324 |  -0.15682565608250645 |  0.08685725716571996  |  -0.20827933362262324  |  0.021482301917391644  |  0.021482301917391644  |  0.021482301917391644  |  0.042449234640745195  |         1.0          |
|         Weighted Support         |  0.05384615384615385  |  0.06923076923076923  |  0.046153846153846156  |  0.038461538461538464 |  0.038461538461538464 |  0.038461538461538464 |  0.038461538461538464 |  0.038461538461538464  |  0.046153846153846156  |  0.046153846153846156  |  0.046153846153846156  |  0.038461538461538464  | 0.03076923076923077  |
|      Weighted Rule Support       |  0.007692307692307693 |  0.007692307692307693 |  0.007692307692307693  |  0.007692307692307693 |  0.007692307692307693 |  0.007692307692307693 |  0.015384615384615385 |  0.007692307692307693  |  0.015384615384615385  |  0.015384615384615385  |  0.015384615384615385  |  0.015384615384615385  | 0.03076923076923077  |
|       Weighted Confidence        |  0.14285714285714285  |   0.1111111111111111  |  0.16666666666666666   |          0.2          |          0.2          |          0.2          |          0.4          |          0.2           |   0.3333333333333333   |   0.3333333333333333   |   0.3333333333333333   |          0.4           |         1.0          |
|          Weighted Lift           |   0.3951367781155015  |   0.3073286052009456  |   0.5284552845528455   |   0.6341463414634146  |   0.5531914893617021  |   0.6341463414634146  |   1.2380952380952381  |   0.5531914893617021   |   1.056910569105691    |   1.056910569105691    |   1.056910569105691    |   1.1063829787234043   |  3.0952380952380953  |
|     Statistical Significance     |  1.60713791069296e-07 |  0.023076245784788632 |  0.06890486505428878   |  0.11866978591830467  |  0.025978395286933832 |  0.09147469507830519  |   0.1150786234923115  | 6.0219999468165166e-05 |  0.03134304071766623   |  0.06763447560919135   |   0.1333518402241746   |  0.05112825412446254   | 0.16472320831184079  |
|           FleBiC Score           | 5.316299368769645e-08 |  0.010526068077198478 |  0.015080257291362694  |  0.021135553836194608 |  0.005502292759242598 |  0.016292001603575707 |  0.01791139297839505  | 1.2754754994506304e-05 |  0.003965591970601536  |  0.008557265896045626  |  0.016871974599447895  |  0.006629605998334988  |  0.2002322089502829  |
+----------------------------------+-----------------------+-----------------------+------------------------+-----------------------+-----------------------+-----------------------+-----------------------+------------------------+------------------------+------------------------+------------------------+------------------------+----------------------+
+----------------------------------+------------------------+------------------------+-----------------------+------------------------+-----------------------+------------------------+------------------------+------------------------+------------------------+------------------------+------------------------+------------------------+------------------------+
|              Metric              |           P1           |           P2           |           P3          |           P4           |           P5          |           P6           |           P7           |           P8           |           P9           |          P10           |          P11           |          P12           |          P13           |
+----------------------------------+------------------------+------------------------+-----------------------+------------------------+-----------------------+------------------------+------------------------+------------------------+------------------------+------------------------+------------------------+------------------------+------------------------+
|  Outcome selected for analysis   |          1.0           |          4.0           |          4.0          |          4.0           |          3.0          |          4.0           |          4.0           |          1.0           |          4.0           |          3.0           |          4.0           |          4.0           |          1.0           |
|         Information Gain         |  0.001670551377408869  |  0.003034223851316267  |  0.023186898640322764 |  0.001266506403991642  |          0.0          |  0.001266506403991642  |  0.001266506403991642  | 0.0001890851838156323  | 2.491558064408621e-05  | 0.0009375030697596478  | 2.491558064408621e-05  |  0.001266506403991642  | 0.0030361764579998726  |
|           Chi-squared            |  0.08570186780034912   |  0.18154057353390135   |   1.3706741451636388  |  0.056793359545653156  |          0.0          |  0.056793359545653156  |  0.056793359545653156  |  0.008176100628930802  | 0.0012213625708742632  |  0.04368279569892474   | 0.0012213625708742632  |  0.056793359545653156  |  0.11720699810322448   |
|            Gini index            | 0.00019847569566155965 | 0.00037828527339001106 | 0.0028561430298402746 | 0.00011834319526604631 |          0.0          | 0.00011834319526604631 | 0.00011834319526604631 | 1.8934911242607377e-05 | 2.545014952004543e-06  | 0.00010752688172022129 | 2.545014952004543e-06  | 0.00011834319526604631 | 0.00027143796374573537 |
|      Difference in Support       |  0.014937106918238997  |  0.025775447793796424  |  0.05854084753167321  |  0.010921799912625596  |          0.0          |  0.010921799912625596  |  0.010921799912625596  |  0.003930817610062885  |  0.001747487986020091  |  0.009615384615384616  |  0.001747487986020091  |  0.010921799912625596  |  0.013364779874213834  |
|          Bigger Support          |  0.05660377358490566   |  0.07339449541284404   |  0.09523809523809523  |  0.047619047619047616  |  0.038461538461538464 |  0.047619047619047616  |  0.047619047619047616  |  0.041666666666666664  |  0.047619047619047616  |  0.04807692307692308   |  0.047619047619047616  |  0.047619047619047616  |  0.041666666666666664  |
|            Confidence            |  0.14285714285714285   |   0.1111111111111111   |   0.3333333333333333  |          0.2           |          0.2          |          0.2           |          0.2           |          0.2           |  0.16666666666666666   |  0.16666666666666666   |  0.16666666666666666   |          0.2           |          0.25          |
|          All-Confidence          |  0.041666666666666664  |  0.047619047619047616  |  0.09523809523809523  |  0.047619047619047616  |  0.038461538461538464 |  0.047619047619047616  |  0.047619047619047616  |  0.041666666666666664  |  0.047619047619047616  |  0.038461538461538464  |  0.047619047619047616  |  0.047619047619047616  |  0.041666666666666664  |
|               Lift               |   0.7738095238095238   |   0.6878306878306878   |   2.0634920634920633  |   1.2380952380952381   |          1.0          |   1.2380952380952381   |   1.2380952380952381   |   1.0833333333333333   |   1.0317460317460316   |   0.8333333333333333   |   1.0317460317460316   |   1.2380952380952381   |   1.3541666666666665   |
|        Standardised Lift         |          0.0           |          0.0           |          0.2          |          0.0           |          0.0          |          0.0           |          0.0           |          0.0           |          0.0           |          0.0           |          0.0           |          0.0           |          0.0           |
|       Collective Strength        |   1.0502678629694067   |   1.0641808618812927   |   1.0680606854543135  |   1.0434085943190092   |   1.0396039603960396  |   1.0434085943190092   |   1.0434085943190092   |   1.0411667913238594   |   1.0485407966857572   |   1.0437283125562264   |   1.0485407966857572   |   1.0434085943190092   |   1.0366547253255547   |
|              Cosine              |  0.07715167498104596   |  0.07273929674533079   |   0.1781741612749496  |  0.09759000729485331   |  0.08770580193070293  |  0.09759000729485331   |  0.09759000729485331   |  0.09128709291752768   |   0.0890870806374748   |  0.08006407690254357   |   0.0890870806374748   |  0.09759000729485331   |  0.10206207261596574   |
|         Interestingness          |  0.005952028740490278  | 0.0052906922137691366  |   0.0317422748191979  |  0.009523245984784448  |  0.007691852526172053 |  0.009523245984784448  |  0.009523245984784448  |  0.00833284023668639   |  0.007936038320653704  |  0.006409877105143377  |  0.007936038320653704  |  0.009523245984784448  |  0.010416050295857987  |
|        Comprehensibility         |  0.43067655807339306   |          0.5           |  0.43067655807339306  |  0.43067655807339306   |  0.43067655807339306  |  0.43067655807339306   |  0.43067655807339306   |  0.43067655807339306   |          0.5           |          0.5           |          0.5           |          0.5           |          0.5           |
|           Completeness           |  0.041666666666666664  |  0.047619047619047616  |  0.09523809523809523  |  0.047619047619047616  |  0.038461538461538464 |  0.047619047619047616  |  0.047619047619047616  |  0.041666666666666664  |  0.047619047619047616  |  0.038461538461538464  |  0.047619047619047616  |  0.047619047619047616  |  0.041666666666666664  |
|           Added Value            | -0.041758241758241776  |  -0.05042735042735044  |  0.17179487179487177  |  0.038461538461538464  |          0.0          |  0.038461538461538464  |  0.038461538461538464  |  0.015384615384615385  |  0.00512820512820511   | -0.033333333333333354  |  0.00512820512820511   |  0.038461538461538464  |  0.06538461538461537   |
|        Casual Confidence         |  0.07549361207897792   |  0.05968778696051423   |   0.1747311827956989  |  0.10400000000000001   |  0.10400000000000001  |  0.10400000000000001   |  0.10400000000000001   |  0.10400000000000001   |  0.08736559139784945   |  0.08736559139784945   |  0.08736559139784945   |  0.10400000000000001   |  0.12896825396825398   |
|          Casual Support          |   0.7769230769230769   |   0.7846153846153846   |   0.823076923076923   |   0.8153846153846154   |   0.7769230769230769  |   0.8153846153846154   |   0.8153846153846154   |   0.7923076923076923   |   0.8076923076923077   |   0.7692307692307692   |   0.8076923076923077   |   0.8153846153846154   |   0.7999999999999999   |
|         Certainty Factor         |  -0.05121293800539086  | -0.060142711518858326  |  0.20489296636085624  |  0.045871559633027525  |          0.0          |  0.045871559633027525  |  0.045871559633027525  |  0.01886792452830189   |  0.006116207951070315  |  -0.04166666666666669  |  0.006116207951070315  |  0.045871559633027525  |   0.080188679245283    |
|            Conviction            |   0.9512820512820512   |   0.9432692307692309   |   1.2576923076923077  |   1.0480769230769231   |          1.0          |   1.0480769230769231   |   1.0480769230769231   |   1.0192307692307694   |   1.0061538461538462   |   0.9600000000000001   |   1.0061538461538462   |   1.0480769230769231   |   1.0871794871794873   |
|        Coverage (Support)        |  0.05384615384615385   |  0.06923076923076923   |  0.046153846153846156 |  0.038461538461538464  |  0.038461538461538464 |  0.038461538461538464  |  0.038461538461538464  |  0.038461538461538464  |  0.046153846153846156  |  0.046153846153846156  |  0.046153846153846156  |  0.038461538461538464  |  0.03076923076923077   |
| Descriptive Confirmed Confidence |  -0.7142857142857142   |  -0.7777777777777777   |  -0.3333333333333333  |  -0.6000000000000001   |  -0.6000000000000001  |  -0.6000000000000001   |  -0.6000000000000001   |  -0.6000000000000001   |  -0.6666666666666667   |  -0.6666666666666667   |  -0.6666666666666667   |  -0.6000000000000001   |          -0.5          |
|    Difference of Proportions     | -0.044134727061556356  |  -0.05417814508723601  |  0.18010752688172038  |  0.04000000000000001   |          0.0          |  0.04000000000000001   |  0.04000000000000001   |  0.016000000000000014  |  0.005376344086021473  |  -0.03494623655913981  |  0.005376344086021473  |  0.04000000000000001   |  0.06746031746031744   |
|   Example and Counter Example    |          -5.0          |          -7.0          |          -1.0         |          -3.0          |          -3.0         |          -3.0          |          -3.0          |          -3.0          |          -4.0          |          -4.0          |          -4.0          |          -3.0          |          -2.0          |
|         Imbalance Ratio          |   0.5666666666666668   |  0.41379310344827586   |          0.6          |          0.64          |          0.7          |          0.64          |          0.64          |   0.6785714285714286   |   0.5769230769230769   |   0.6451612903225806   |   0.5769230769230769   |          0.64          |   0.7407407407407408   |
|  Fisher's Exact Test (p-value)   |   0.7693049492688133   |   0.8063545190715675   |   0.2490176672347978  |   0.5918574278449988   |   0.6787265690625881  |   0.5918574278449988   |   0.5918574278449988   |   0.6459630409570897   |   0.660425379967039    |   0.7455514426975698   |   0.660425379967039    |   0.5918574278449988   |   0.5626602270646401   |
|         Hyper Confidence         |  0.23069505073118668   |  0.19364548092843248   |   0.7509823327652022  |  0.40814257215500116   |   0.3212734309374119  |  0.40814257215500116   |  0.40814257215500116   |   0.3540369590429103   |   0.339574620032961    |   0.2544485573024302   |   0.339574620032961    |  0.40814257215500116   |  0.43733977293535986   |
|            Hyper Lift            |   0.3333333333333333   |   0.3333333333333333   |   0.6666666666666666  |          0.5           |   0.3333333333333333  |          0.5           |          0.5           |          0.5           |   0.3333333333333333   |   0.3333333333333333   |   0.3333333333333333   |          0.5           |          0.5           |
|   Laplace Corrected Confidence   |  0.16666666666666666   |  0.14285714285714285   |   0.2727272727272727  |          0.2           |          0.2          |          0.2           |          0.2           |          0.2           |  0.18181818181818182   |  0.18181818181818182   |  0.18181818181818182   |          0.2           |   0.2222222222222222   |
|            Importance            |  -0.5440680443502756   |  -0.6532125137753436   |  -0.22184874961635637 |  -0.39794000867203755  |  -0.39794000867203755 |  -0.39794000867203755  |  -0.39794000867203755  |  -0.39794000867203755  |  -0.4771212547196623   |  -0.4771212547196623   |  -0.4771212547196623   |  -0.39794000867203755  |  -0.30102999566398114  |
|       Jaccard Coefficient        |  0.03333333333333333   |  0.034482758620689655  |          0.08         |          0.04          |  0.03333333333333333  |          0.04          |          0.04          |  0.03571428571428571   |  0.038461538461538464  |  0.03225806451612903   |  0.038461538461538464  |          0.04          |  0.037037037037037035  |
|            J-Measure             | 0.00014444811576687356 |   0.0003107400268019   | 0.0017762152842202882 | 8.601091284250544e-05  |          0.0          | 8.601091284250544e-05  | 8.601091284250544e-05  | 1.2861556886558268e-05 | 1.9296060170424036e-06 |  7.27891442656402e-05  | 1.9296060170424036e-06 | 8.601091284250544e-05  | 0.00017514131206590748 |
|              Kappa               |  -0.0205739036275039   | -0.033503691084610994  |  0.08225905463474542  |  0.015772870662460064  |          0.0          |  0.015772870662460064  |  0.015772870662460064  |  0.005665722379603216  |  0.002455494168201846  | -0.013513513513514054  |  0.002455494168201846  |  0.015772870662460064  |  0.019721577726217465  |
|             Klosgen              | -0.003662440080622761  | -0.004422771208471345  |  0.021308531326864014 |  0.003373300074257805  |          0.0          |  0.003373300074257805  |  0.003373300074257805  |  0.001349320029703122  | 0.00044977334323437234 | -0.0029235267310234324 | 0.00044977334323437234 |  0.003373300074257805  |  0.005734610126238267  |
|            Kulczynski            |  0.09226190476190475   |  0.07936507936507936   |  0.21428571428571427  |  0.12380952380952381   |  0.11923076923076924  |  0.12380952380952381   |  0.12380952380952381   |  0.12083333333333333   |  0.10714285714285714   |  0.10256410256410256   |  0.10714285714285714   |  0.12380952380952381   |  0.14583333333333334   |
