+----------------------------------+-----------------------+------------------------+------------------------+-----------------------+------------------------+-----------------------+------------------------+------------------------+------------------------+-----------------------+------------------------+------------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+------------------------+----------------------+----------------------+----------------------+----------------------+-----------------------+-----------------------+----------------------+
|              Metric              |           P1          |           P2           |           P3           |           P4          |           P5           |           P6          |           P7           |           P8           |           P9           |          P10          |          P11           |          P12           |          P13           |          P14           |          P15           |          P16          |          P17          |          P18           |         P19          |         P20          |         P21          |         P22          |          P23          |          P24          |         P25          |
|        Casual Confidence         |  0.25273058252427183  |   0.5776699029126213   |   0.5560747663551402   |   0.3128412537917088  |   0.5336322869955157   |   0.5336322869955157  |   0.5288888888888889   |   0.5265486725663717   |   0.5242290748898678   |   0.5219298245614035  |   0.519650655021834    |   0.519650655021834    |  0.34643377001455605   |  0.24410256410256412   |   0.5265486725663717   |  0.33360032038446136  |   0.5219298245614035  |   0.519650655021834    |  0.5085470085470085  |  0.5063829787234042  |  0.5063829787234042  |  0.5063829787234042  |   0.3375886524822695  |   0.3375886524822695  |  0.5063829787234042  |
|          Casual Support          |   0.726890756302521   |   0.7310924369747899   |   0.6974789915966386   |   0.6092436974789917  |   0.6596638655462185   |   0.6596638655462185  |   0.6512605042016807   |   0.6470588235294118   |   0.6428571428571428   |   0.6386554621848739  |   0.634453781512605    |   0.634453781512605    |   0.6092436974789917   |   0.592436974789916    |   0.6470588235294118   |   0.6092436974789917  |   0.6386554621848739  |   0.634453781512605    |  0.6134453781512605  |  0.6092436974789915  |  0.6092436974789915  |  0.6092436974789915  |   0.6008403361344538  |   0.6008403361344538  |  0.6092436974789915  |
|         Certainty Factor         |   0.2436440677966102  |          1.0           |          1.0           |  0.27127985303123076  |          1.0           |          1.0          |          1.0           |          1.0           |          1.0           |          1.0          |          1.0           |          1.0           |   0.4413145539906104   |  0.09750812567713979   |          1.0           |   0.3905249679897567  |          1.0          |          1.0           |         1.0          |         1.0          |         1.0          |         1.0          |  0.44131455399061026  |  0.44131455399061026  |         1.0          |
|            Conviction            |   1.3221288515406162  |          inf           |          inf           |   1.372268907563025   |          inf           |          inf          |          inf           |          inf           |          inf           |          inf          |          inf           |          inf           |   1.7899159663865545   |   1.1080432172869148   |          inf           |   1.6407563025210083  |          inf          |          inf           |         inf          |         inf          |         inf          |         inf          |   1.7899159663865547  |   1.7899159663865547  |         inf          |
|        Coverage (Support)        |  0.13445378151260504  |  0.13445378151260504   |  0.10084033613445378   |  0.09663865546218488  |  0.06302521008403361   |  0.06302521008403361  |   0.0546218487394958   |  0.05042016806722689   |  0.046218487394957986  |  0.04201680672268908  |  0.037815126050420166  |  0.037815126050420166  |  0.037815126050420166  |   0.0546218487394958   |  0.05042016806722689   |  0.046218487394957986 |  0.04201680672268908  |  0.037815126050420166  | 0.01680672268907563  | 0.012605042016806723 | 0.012605042016806723 | 0.012605042016806723 |  0.012605042016806723 |  0.012605042016806723 | 0.012605042016806723 |
| Descriptive Confirmed Confidence |         -0.125        |          1.0           |          1.0           |  0.13043478260869557  |          1.0           |          1.0          |          1.0           |          1.0           |          1.0           |          1.0          |          1.0           |          1.0           |  0.33333333333333337   |  -0.07692307692307687  |          1.0           |  0.27272727272727276  |          1.0          |          1.0           |         1.0          |         1.0          |         1.0          |         1.0          |   0.3333333333333333  |   0.3333333333333333  |         1.0          |
|    Difference of Proportions     |  0.20934466019417478  |   0.6893203883495146   |   0.6635514018691588   |  0.17917087967644085  |   0.6367713004484306   |   0.6367713004484306  |   0.6311111111111112   |   0.6283185840707964   |   0.6255506607929515   |   0.6228070175438597  |   0.6200873362445416   |   0.6200873362445416   |  0.27365356622998555   |  0.06153846153846154   |   0.6283185840707964   |   0.2442931517821385  |   0.6228070175438597  |   0.6200873362445416   |  0.6068376068376068  |  0.6042553191489362  |  0.6042553191489362  |  0.6042553191489362  |  0.26666666666666666  |  0.26666666666666666  |  0.6042553191489362  |
|   Example and Counter Example    |  -0.28571428571428564 |          1.0           |          1.0           |   0.2307692307692307  |          1.0           |          1.0          |          1.0           |          1.0           |          1.0           |          1.0          |          1.0           |          1.0           |          0.5           |  -0.16666666666666663  |          1.0           |   0.4285714285714286  |          1.0          |          1.0           |         1.0          |         1.0          |         1.0          |         1.0          |          0.5          |          0.5          |         1.0          |
|         Imbalance Ratio          |  0.36708860759493667  |   0.6666666666666667   |          0.75          |   0.6886792452830189  |        0.84375         |        0.84375        |   0.8645833333333334   |         0.875          |   0.8854166666666667   |   0.8958333333333334  |        0.90625         |        0.90625         |   0.8787878787878788   |   0.8058252427184466   |         0.875          |   0.8500000000000001  |   0.8958333333333334  |        0.90625         |  0.9583333333333334  |       0.96875        |       0.96875        |       0.96875        |   0.958762886597938   |   0.958762886597938   |       0.96875        |
|  Fisher's Exact Test (p-value)   |  0.012986143564532315 | 6.439293542825908e-15  | 4.9272919078191535e-11 |  0.07585543146690443  |  6.02723325360266e-07  |  6.02723325360266e-07 | 4.463305261270811e-06  | 1.2008416536368749e-05 | 3.2069535926271264e-05 | 8.502156036271913e-05 | 0.00022379238302350224 | 0.00022379238302350224 |  0.09882565338653115   |  0.43449256900796107   | 1.2008416536368749e-05 |  0.09822860350429719  | 8.502156036271913e-05 | 0.00022379238302350224 |  0.0254859291925309  | 0.06439992860478239  | 0.06439992860478239  | 0.06439992860478239  |   0.3562549241966686  |   0.3562549241966686  | 0.06439992860478239  |
|         Hyper Confidence         |   0.9870138564354677  |   0.9999999999999936   |   0.9999999999507271   |   0.9241445685330956  |   0.9999993972766746   |   0.9999993972766746  |   0.9999955366947387   |   0.9999879915834636   |   0.9999679304640737   |   0.9999149784396373  |   0.9997762076169765   |   0.9997762076169765   |   0.9011743466134688   |   0.5655074309920389   |   0.9999879915834636   |   0.9017713964957028  |   0.9999149784396373  |   0.9997762076169765   |  0.9745140708074691  |  0.9356000713952176  |  0.9356000713952176  |  0.9356000713952176  |   0.6437450758033314  |   0.6437450758033314  |  0.9356000713952176  |
|            Hyper Lift            |   1.1666666666666667  |   1.8823529411764706   |   1.8461538461538463   |          1.0          |   1.6666666666666667   |   1.6666666666666667  |         1.625          |          1.5           |   1.5714285714285714   |   1.4285714285714286  |          1.5           |          1.5           |          1.0           |          0.75          |          1.5           |          1.0          |   1.4285714285714286  |          1.5           |  1.3333333333333333  |         1.0          |         1.0          |         1.0          |   0.6666666666666666  |   0.6666666666666666  |         1.0          |
|   Laplace Corrected Confidence   |  0.42857142857142855  |   0.9428571428571428   |   0.9259259259259259   |   0.5384615384615384  |   0.8888888888888888   |   0.8888888888888888  |         0.875          |   0.8666666666666667   |   0.8571428571428571   |   0.8461538461538461  |   0.8333333333333334   |   0.8333333333333334   |   0.5833333333333334   |         0.4375         |   0.8666666666666667   |   0.5714285714285714  |   0.8461538461538461  |   0.8333333333333334   |  0.7142857142857143  |  0.6666666666666666  |  0.6666666666666666  |  0.6666666666666666  |          0.5          |          0.5          |  0.6666666666666666  |
|            Importance            |  -0.10266234189714771 |   1.5185139398778873   |   1.3979400086720375   |  0.10473535052001297  |   1.2041199826559246   |   1.2041199826559246  |   1.1461280356782377   |   1.1139433523068367   |   1.0791812460476247   |   1.041392685158225   |          1.0           |          1.0           |  0.24303804868629444   | -0.057991946977686754  |   1.1139433523068367   |  0.20411998265592474  |   1.041392685158225   |          1.0           |  0.6989700043360187  |  0.6020599913279623  |  0.6020599913279623  |  0.6020599913279623  |  0.17609125905568124  |  0.17609125905568124  |  0.6020599913279623  |
|       Jaccard Coefficient        |  0.17721518987341775  |   0.3333333333333333   |          0.25          |  0.12264150943396228  |        0.15625         |        0.15625        |  0.13541666666666666   |         0.125          |  0.11458333333333334   |  0.10416666666666667  |  0.09374999999999999   |  0.09374999999999999   |  0.060606060606060615  |  0.05825242718446602   |         0.125          |  0.06999999999999999  |  0.10416666666666667  |  0.09374999999999999   | 0.041666666666666664 |       0.03125        |       0.03125        |       0.03125        |  0.020618556701030927 |  0.020618556701030927 |       0.03125        |
|            J-Measure             |  0.004488337925474683 |  0.053015895666143655  |  0.03976192174960774   | 0.0022285037417607637 |  0.02485120109350484   |  0.02485120109350484  |  0.021537707614370863  |  0.01988096087480387   |  0.018224214135236883  |  0.016567467395669895 |  0.014910720656102903  |  0.014910720656102903  | 0.0023142389228107286  | 0.00016464216482618092 |  0.01988096087480387   | 0.0022096690230403297 |  0.016567467395669895 |  0.014910720656102903  | 0.006626986958267957 | 0.004970240218700968 | 0.004970240218700968 | 0.004970240218700968 | 0.0007714129742702415 | 0.0007714129742702415 | 0.004970240218700968 |
|              Kappa               |   0.1513987931980253  |   0.3736842105263158   |  0.28456913827655295   |  0.07412365096628476  |   0.1809839408615857   |   0.1809839408615857  |   0.1574682248571185   |   0.1456410256410258   |   0.1337672347349491   |   0.1218465762828213  |  0.10987877224658252   |  0.10987877224658252   |   0.0484911013670367   |  0.015354431459523987  |   0.1456410256410258   |  0.052239445062944596 |   0.1218465762828213  |  0.10987877224658252   | 0.049322681486627704 | 0.03706604019838166  | 0.03706604019838166  | 0.03706604019838166  |  0.016357782998346934 |  0.016357782998346934 | 0.03706604019838166  |
|             Klosgen              |  0.04394684382223471  |  0.21877510349244708   |  0.18946479734002883   |  0.03782789078044602  |  0.14978507400417562   |  0.14978507400417562  |  0.13944231522453357   |  0.13397184299526932   |  0.12826827415974695   |  0.12229900079841582  |  0.11602301942572353   |  0.11602301942572353   |  0.04180678626751811   |  0.009237178635212676  |  0.13397184299526932   |  0.03995956338309029  |  0.12229900079841582  |  0.11602301942572353   | 0.07734867961714903  | 0.06698592149763466  | 0.06698592149763466  | 0.06698592149763466  |  0.02413715930550472  |  0.02413715930550472  | 0.06698592149763466  |
|            Kulczynski            |  0.33350409836065575  |   0.6666666666666666   |         0.625          |   0.3503170289855072  |        0.578125        |        0.578125       |   0.5677083333333334   |         0.5625         |   0.5572916666666666   |   0.5520833333333334  |        0.546875        |        0.546875        |  0.36458333333333337   |   0.2620192307692308   |         0.5625         |   0.3546401515151515  |   0.5520833333333334  |        0.546875        |  0.5208333333333334  |       0.515625       |       0.515625       |       0.515625       |        0.34375        |        0.34375        |       0.515625       |
|     Goodman-Kruskal's Lambda     |  0.20982142857142855  |  0.31067961165048547   |  0.33644859813084116   |   0.3688888888888889  |   0.3632286995515695   |   0.3632286995515695  |   0.3688888888888889   |   0.3716814159292035   |   0.3744493392070484   |   0.3771929824561404  |  0.37991266375545857   |  0.37991266375545857   |   0.3879310344827586   |   0.3879310344827586   |   0.3716814159292035   |   0.3852813852813853  |   0.3771929824561404  |  0.37991266375545857   | 0.39316239316239315  | 0.39574468085106385  | 0.39574468085106385  | 0.39574468085106385  |  0.39830508474576276  |  0.39830508474576276  | 0.39574468085106385  |
|       Least Contradiction        |  -0.06557377049180327 |   0.3333333333333333   |          0.25          |  0.031249999999999993 |        0.15625         |        0.15625        |  0.13541666666666666   |         0.125          |  0.11458333333333334   |  0.10416666666666667  |  0.09374999999999999   |  0.09374999999999999   |        0.03125         | -0.010416666666666664  |         0.125          |        0.03125        |  0.10416666666666667  |  0.09374999999999999   | 0.041666666666666664 |       0.03125        |       0.03125        |       0.03125        |  0.010416666666666666 |  0.010416666666666666 |       0.03125        |
|        Lerman Similarity         |   2.024653465627011   |    5.31421643881235    |   4.6022464372203675   |   1.222209651253059   |   3.6383952737528706   |   3.6383952737528706  |   3.3871616651199665   |   3.2542796644501504   |   3.1157355669647737   |   2.970737301082817   |   2.8182888604329293   |   2.8182888604329293   |   1.2437518914586634   |  0.33027578533130764   |   3.2542796644501504   |   1.2167725325534646  |   2.970737301082817   |   2.8182888604329293   |  1.878859240288619   |  1.6271398322250752  |  1.6271398322250752  |  1.6271398322250752  |   0.7180804893387657  |   0.7180804893387657  |  1.6271398322250752  |
|        Piatetsky-Shapiro         |  0.02436268625097098  |  0.08022032342348703   |  0.06016524256761528   |  0.015641550737942232 |  0.03760327660475955   |  0.03760327660475955  |  0.03258950639079161   |  0.03008262128380764   |  0.02757573617682367   |  0.025068851069839703 |  0.02256196596285573   |  0.02256196596285573   |  0.00995692394604901   |  0.003177741684909259  |  0.03008262128380764   |  0.010769013487748037 |  0.025068851069839703 |  0.02256196596285573   | 0.01002754042793588  | 0.00752065532095191  | 0.00752065532095191  | 0.00752065532095191  |  0.003318974648683002 |  0.003318974648683002 | 0.00752065532095191  |
|          Max Confidence          |         0.4375        |          1.0           |          1.0           |   0.5652173913043478  |          1.0           |          1.0          |          1.0           |          1.0           |          1.0           |          1.0          |          1.0           |          1.0           |   0.6666666666666667   |  0.46153846153846156   |          1.0           |   0.6363636363636364  |          1.0          |          1.0           |         1.0          |         1.0          |         1.0          |         1.0          |   0.6666666666666666  |   0.6666666666666666  |         1.0          |
|            Odds Ratio            |   2.6312056737588656  |          inf           |          inf           |   2.067469879518072   |          inf           |          inf          |          inf           |          inf           |          inf           |          inf          |          inf           |          inf           |   3.088888888888889    |   1.2857142857142858   |          inf           |   2.713483146067416   |          inf          |          inf           |         inf          |         inf          |         inf          |         inf          |          3.0          |          3.0          |         inf          |
|   Phi Correlation Coefficient    |  0.16357575607964364  |   0.4793469127710864   |   0.4072933223946714   |  0.10791225929740364  |  0.31542909773048405   |  0.31542909773048405  |   0.2923404914871749   |   0.2802495727184068   |  0.26772687553274455   |   0.2547071475128879  |  0.24110824907689446   |  0.24110824907689446   |  0.10640457940482664   |  0.028505573384448254  |   0.2802495727184068   |  0.10455402949742264  |   0.2547071475128879  |  0.24110824907689446   |  0.1590122645738381  | 0.13741535111989583  | 0.13741535111989583  | 0.13741535111989583  |  0.06064339439093996  |  0.06064339439093996  | 0.13741535111989583  |
|          Ralambondrainy          |  0.07563025210084033  |          0.0           |          0.0           |  0.04201680672268908  |          0.0           |          0.0          |          0.0           |          0.0           |          0.0           |          0.0          |          0.0           |          0.0           |  0.012605042016806723  |  0.029411764705882353  |          0.0           |  0.01680672268907563  |          0.0          |          0.0           |         0.0          |         0.0          |         0.0          |         0.0          |  0.004201680672268907 |  0.004201680672268907 |         0.0          |
| Relative Linkage Disequilibrium  |   0.9999451984728641  |          1.0           |          1.0           |   0.999952579216419   |          1.0           |          1.0          |          1.0           |          1.0           |          1.0           |          1.0          |          1.0           |          1.0           |   0.9999776511342049   |   0.9998366280019605   |          1.0           |   0.9999724487546836  |          1.0          |          1.0           |         1.0          |         1.0          |         1.0          |         1.0          |   0.9999776511342049  |   0.9999776511342049  |         1.0          |
|          Relative Risk           |   1.9175531914893618  |   3.2187500000000004   |   2.9722222222222223   |   1.464117338920901   |   2.7530864197530867   |   2.7530864197530867  |   2.710843373493976    |   2.6904761904761902   |   2.6705882352941175   |   2.6511627906976747  |   2.6321839080459775   |   2.6321839080459775   |   1.6962962962962966   |   1.1538461538461537   |   2.6904761904761902   |   1.623084780388151   |   2.6511627906976747  |   2.6321839080459775   |  2.543478260869565   |  2.526881720430108   |  2.526881720430108   |  2.526881720430108   |   1.6666666666666667  |   1.6666666666666667  |  2.526881720430108   |
|        Rule Power Factor         |  0.02573529411764706  |  0.13445378151260504   |  0.10084033613445378   |  0.030873218852758493 |  0.06302521008403361   |  0.06302521008403361  |   0.0546218487394958   |  0.05042016806722689   |  0.046218487394957986  |  0.04201680672268908  |  0.037815126050420166  |  0.037815126050420166  |  0.016806722689075633  |  0.011635423400129283  |  0.05042016806722689   |  0.01871657754010695  |  0.04201680672268908  |  0.037815126050420166  | 0.01680672268907563  | 0.012605042016806723 | 0.012605042016806723 | 0.012605042016806723 | 0.0056022408963585435 | 0.0056022408963585435 | 0.012605042016806723 |
|         Sebag-Schoenauer         |   0.7777777777777778  |          inf           |          inf           |   1.2999999999999998  |          inf           |          inf          |          inf           |          inf           |          inf           |          inf          |          inf           |          inf           |          2.0           |   0.8571428571428572   |          inf           |          1.75         |          inf          |          inf           |         inf          |         inf          |         inf          |         inf          |          2.0          |          2.0          |         inf          |
|              Yule Q              |       0.44921875      |          1.0           |          1.0           |  0.34799685781618234  |          1.0           |          1.0          |          1.0           |          1.0           |          1.0           |          1.0          |          1.0           |          1.0           |   0.5108695652173914   |  0.12500000000000006   |          1.0           |   0.4614220877458397  |          1.0          |          1.0           |         1.0          |         1.0          |         1.0          |         1.0          |   0.5000000000000001  |   0.5000000000000001  |         1.0          |
|              Yule Y              |  0.23725233846114757  |          1.0           |          1.0           |  0.17961168010366868  |          1.0           |          1.0          |          1.0           |          1.0           |          1.0           |          1.0          |          1.0           |          1.0           |  0.27471153279182114   |  0.06274606680622827   |          1.0           |  0.24450339023451803  |          1.0          |          1.0           |         1.0          |         1.0          |         1.0          |         1.0          |   0.2679491924311227  |   0.2679491924311227  |         1.0          |
|         Weighted Support         |  0.13445378151260504  |  0.13445378151260504   |  0.10084033613445378   |  0.09663865546218488  |  0.06302521008403361   |  0.06302521008403361  |   0.0546218487394958   |  0.05042016806722689   |  0.046218487394957986  |  0.04201680672268908  |  0.037815126050420166  |  0.037815126050420166  |  0.037815126050420166  |   0.0546218487394958   |  0.05042016806722689   |  0.046218487394957986 |  0.04201680672268908  |  0.037815126050420166  | 0.01680672268907563  | 0.012605042016806723 | 0.012605042016806723 | 0.012605042016806723 |  0.012605042016806723 |  0.012605042016806723 | 0.012605042016806723 |
|      Weighted Rule Support       |  0.058823529411764705 |  0.13445378151260504   |  0.10084033613445378   |   0.0546218487394958  |  0.06302521008403361   |  0.06302521008403361  |   0.0546218487394958   |  0.05042016806722689   |  0.046218487394957986  |  0.04201680672268908  |  0.037815126050420166  |  0.037815126050420166  |  0.025210084033613446  |  0.025210084033613446  |  0.05042016806722689   |  0.029411764705882353 |  0.04201680672268908  |  0.037815126050420166  | 0.01680672268907563  | 0.012605042016806723 | 0.012605042016806723 | 0.012605042016806723 |  0.008403361344537815 |  0.008403361344537815 | 0.012605042016806723 |
|       Weighted Confidence        |         0.4375        |          1.0           |          1.0           |   0.5652173913043478  |          1.0           |          1.0          |          1.0           |          1.0           |          1.0           |          1.0          |          1.0           |          1.0           |   0.6666666666666667   |  0.46153846153846156   |          1.0           |   0.6363636363636364  |          1.0          |          1.0           |         1.0          |         1.0          |         1.0          |         1.0          |   0.6666666666666666  |   0.6666666666666666  |         1.0          |
|          Weighted Lift           |   1.7069672131147544  |   2.479166666666667    |   2.4791666666666665   |   1.4012681159420288  |   2.4791666666666665   |   2.4791666666666665  |   2.479166666666667    |   2.4791666666666665   |   2.4791666666666665   |   2.4791666666666665  |   2.4791666666666665   |   2.4791666666666665   |   1.652777777777778    |   1.1442307692307694   |   2.4791666666666665   |   1.577651515151515   |   2.4791666666666665  |   2.4791666666666665   |  2.479166666666667   |  2.4791666666666665  |  2.4791666666666665  |  2.4791666666666665  |   1.6527777777777777  |   1.6527777777777777  |  2.4791666666666665  |
